Dates,DRREDDY.NS Y,AUROPHARMA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of AUROPHARMA.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-06-09,4666.7998046875,669.4000244140625,0.2750288814586864,67.35335858324106,4599.446446104259,,0.0428112883528049,Individual Breakup,,Lot DRREDDY.NS Y,Lot  AUROPHARMA.NS X,Total Profit,Total Trade,,,,,,,,,
2023-06-12,4675.64990234375,663.7000122070312,0.3532909993643137,86.48005343270961,4589.16984891104,,0.0426262895181604,Margin of AUROPHARMA.NS X,Margin of DRREDDY.NS Y,1,-181.7001953125,2022.7001342773438,2,,,,,,,,,
2023-06-13,4702.0,681.5999755859375,0.3398611219857246,83.13240892817248,4618.867591071828,,0.0426253340198074,1,1,,,,,,,,,,,,,
2023-06-14,4699.0,669.75,0.4123049713670276,100.8077928305056,4598.192207169494,,0.0417224176314246,,,,,,,,,,,,,,,
2023-06-15,4803.4501953125,685.4000244140625,0.7347644626014034,179.55563420166982,4623.89456111083,,0.0383046938423134,,,,,,,,,,,,,,,
2023-06-16,4915.0498046875,682.5999755859375,1.211622870850639,296.23745389903706,4618.812350788463,,0.0416768714033095,,,,,,,,,,,,,,,
2023-06-19,4879.0,678.0499877929688,1.0965005725746766,268.1784594238552,4610.821540576145,,0.039103215131747,,,,,,,,,,,,,,,
2023-06-20,4901.2001953125,680.9500122070312,1.169046811104946,286.01333684074325,4615.186858471757,,0.0272866991505155,,,,,,,,,,,,,,,
2023-06-21,4910.39990234375,682.0,1.2033200029150908,294.3247871312233,4616.075115212527,,0.0306699638887175,,,,,,,,,,,,,,,
2023-06-22,4899.4501953125,671.6500244140625,1.2324594063302114,301.3092191031974,4598.140976209303,,0.0341144089262156,,,,,,,,,,,,,,,
2023-06-23,4993.89990234375,699.1500244140625,1.43998465922405,351.96051256366445,4641.939389780086,,0.033798821760366,,,,,,,,,,,,,,,
