Dates,HDFCAMC.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of HDFCAMC.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HDFCAMC.NS X,Effective Investment of HDFCAMC.NS Y,Multiplier X,Multiplier Y
2022-04-22,2046.550048828125,554.0499877929688,-1.494771437162987,-312.7875752654945,2359.3376240936195,,,,,,,,,,,,,,,,
2022-04-25,2005.0,540.0,-1.4393876585030092,-300.6864852113954,2305.6864852113954,,,,,,,,,,,,,,,,
2022-04-26,2087.35009765625,549.8499755859375,-1.192238197374103,-248.70943408648327,2336.0595317427333,,,,,,,,,,,,,,,,
2022-04-27,2071.949951171875,547.6500244140625,-1.2112253062749287,-252.22337404935436,2324.1733252212293,,,,,,,,,,,,,,,,
2022-04-28,2053.25,571.4000244140625,-1.6887558919536747,-351.07998721865306,2404.329987218653,,,,,,,,,,,,,,,,
2022-04-29,2041.75,582.4000244140625,-1.9173558116888885,-398.17683046392,2439.92683046392,,,,,,,,,,,,,,,,
2022-05-02,2028.800048828125,579.8499755859375,-1.918120566508359,-397.5612179242603,2426.3612667523853,,,,,,,,,,,,,,,,
2022-05-04,1995.4000244140625,567.5999755859375,-1.8427534614354624,-380.6024089581029,2376.0024333721653,,,,,,,,,,,,,,,,
2022-05-05,1950.4000244140625,569.75,-2.078881947641316,-429.4626454300597,2379.862669844122,-1.0,,,,,,,,,,,,,,,
2022-05-06,1958.0,565.9500122070312,-1.9525647725895667,-403.82303014129366,2361.8230301412937,,,,,,,,,,,,,,,,
2022-05-09,1932.550048828125,563.8499755859375,-2.015471255082378,-417.5062195264413,2350.0562683545663,,,,,,,,,,,,,,,,
2022-05-10,1917.6500244140625,559.2000122070312,-1.9789365006924728,-410.1041442453602,2327.7541686594227,,,,,,,,,,,,,,,,
2022-05-11,1876.75,563.5499877929688,-2.230872860384817,-462.7563135462842,2339.506313546284,,,,,,,,,,,,,,,,
2022-05-12,1840.050048828125,547.25,-2.071784794415881,-428.92438561193694,2268.974434440062,,,,,,,,,,,,,,,,
2022-05-13,1770.050048828125,550.75,-2.4413074437147806,-505.1690999288353,2275.2191487569603,,,,,,,,,,,,,,,,
2022-05-16,1761.0,549.7000122070312,-2.4291325469222427,-502.1955318492719,2263.195531849272,,,,,,,,,,,,,,,,
2022-05-17,1811.4000244140625,554.8499755859375,-2.2560842659949767,-466.11474733447176,2277.5147717485343,,,,,,,,,,,,,,,,
2022-05-18,1775.0999755859375,550.0,-2.30182937806141,-475.8694677941703,2250.969443380108,,,,,,,,,,,,,,,,
2022-05-19,1706.75,528.7000122070312,-2.1631873843743885,-446.98264033250734,2153.732640332508,,,,,,,,,,,,,,,,
2022-05-20,1706.800048828125,544.7000122070312,-2.4534828681202185,-508.7457980037125,2215.545846831837,,,,,,,,,,,,,,,,
2022-05-23,1735.25,551.1500244140625,-2.41510018710841,-501.8646501188669,2237.114650118867,,,,,,,,,,,,,,,,
2022-05-24,1702.3499755859375,552.9000244140625,-2.5737693123432845,-536.3260934436335,2238.676069029571,,,,,,,,,,,,,,,,
2022-05-25,1704.4000244140625,569.0999755859375,-2.866983184257891,-600.3807448144476,2304.78076922851,,,,,,,,,,,,,,,,
2022-05-26,1738.1500244140625,578.0499877929688,-2.86655963639672,-600.6867284032865,2338.836752817349,,,,,,,,,,,,,,,,
2022-05-27,1807.199951171875,598.0999755859375,-2.947233630147544,-616.7454060620171,2423.945357233892,,,,,,,,,,,,,,,,
2022-05-30,1835.300048828125,608.9000244140625,-3.029627756430449,-633.5275039858225,2468.8275528139475,,,,,,,,,,,,,,,,
2022-05-31,1896.800048828125,598.9500122070312,-2.5063392158020874,-521.3734947065577,2418.1735435346827,,,,,,,,,,,,,,,,
2022-06-01,1854.25,607.1500244140625,-2.8822357572839965,-597.7858090862219,2452.035809086222,,,,,,,,,,,,,,,,
2022-06-02,1885.050048828125,607.9000244140625,-2.7369258132680434,-566.512030249537,2451.562079077662,,,,,,,,,,,,,,,,
2022-06-03,1862.050048828125,602.7000122070312,-2.71434867062054,-560.0179360127254,2422.0679848408504,,,,,,,,,,,,,,,,
2022-06-06,1858.0,606.0999755859375,-2.799940121952615,-575.8410279795044,2433.8410279795044,,,,,,,,,,,,,,,,
2022-06-07,1870.8499755859373,605.2999877929688,-2.708630260667933,-554.2185453022048,2425.0685208881423,,,,,,,,,,,,,,,,
2022-06-08,1900.8499755859373,599.9500122070312,-2.4258600952797296,-492.4487064333107,2393.298682019248,,,,,,,,,,,,,,,,
2022-06-09,1881.0999755859373,604.9000244140625,-2.636162566845074,-532.1238687757068,2413.2238443616443,,,,,,,,,,,,,,,,
2022-06-10,1868.3499755859373,593.0999755859375,-2.387430359817907,-479.7196620494078,2348.0696376353453,,,,,,,,,,,,,,,,
2022-06-13,1813.800048828125,582.0,-2.3525344783037627,-471.6329041833651,2285.43295301149,,,,,,,,,,,,,,,,
2022-06-14,1820.6500244140625,572.4000244140625,-2.047223459357954,-409.5795058836484,2230.229530297711,,,,,,,,,,,,,,,,
2022-06-15,1829.0,579.75,-2.1761843853667937,-434.9823219678647,2263.9823219678647,,,,,,,,,,,,,,,,
2022-06-16,1784.949951171875,570.5499877929688,-2.1297394951733675,-424.6574226662724,2209.6073738381474,,,,,,,,,,,,,,,,
2022-06-17,1768.25,550.7999877929688,-1.6611152730495946,-329.9292610667876,2098.179261066788,,,,,,,,,,,,,,,,
2022-06-20,1787.3499755859375,553.1500244140625,-1.6046791352499268,-317.7191330455871,2105.0691086315246,,,,,,,,,,,,,,,,
2022-06-21,1855.050048828125,564.4500122070312,-1.553371241473672,-307.04097490334925,2162.0910237314743,,,,,,,,,,,,,,,,
2022-06-22,1828.5,551.7999877929688,-1.3172767038572015,-259.3036003618654,2087.8036003618654,,,,,,,,,,,,,,,,
2022-06-23,1815.800048828125,558.0999755859375,-1.537071111663449,-301.5876010022112,2117.387649830336,,,,,,,,,,,,,,,,
2022-06-24,1816.050048828125,561.4500122070312,-1.610967760334367,-315.5181209754228,2131.568169803548,,,,,,,,,,,,,,,,
2022-06-27,1757.949951171875,558.0,-1.7870358351145308,-349.51400997042083,2107.463961142296,,,,,,,,,,,,,,,,
2022-06-28,1750.0999755859375,565.9500122070312,-2.0332230840448275,-397.1807688813974,2147.280744467335,,,,,,,,,,,,,,,,
2022-06-29,1744.8499755859375,541.25,-1.3243262170913417,-257.9437427221389,2002.7937183080764,,,,,,,,,,,,,,,,
