Dates,BANKBARODA.NS Y,CANBK.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of CANBK.NS X,Effective Margin of BANKBARODA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of BANKBARODA.NS X,Effective Investment of BANKBARODA.NS Y,Multiplier X,Multiplier Y
2022-08-19,120.3499984741211,230.6499938964844,1.6776286413207302,11.07346665725855,109.27653181686254,,0.396208975533557,1.0,476.0,4.76,2.2910000610351564,2.468999938964844,242.0,-7.542021935727416,-35.9000244140625,-754.2021935727416,115.69998168945312,-151.60000610351562,229.1000061035156,246.8999938964844,1.0,2.0
2022-08-22,118.25,222.0500030517578,1.911436995202056,12.65995300153729,105.59004699846273,,0.4272547581790031,,,,,,,,,,,,,,,
2022-08-23,123.4499969482422,229.1000061035156,2.215780221081895,14.728531016178124,108.72146593206406,1.0,0.4942405545280683,,,,,,,,,,,,,,,
2022-08-24,123.5500030517578,232.1000061035156,2.01912431680933,13.460545373260786,110.08945767849704,,0.4545961861053363,,,,,,,,,,,,,,,
2022-08-25,125.9000015258789,238.75,1.922387381497893,12.847379717277846,113.05262180860106,,0.4584081401690361,,,,,,,,,,,,,,,
2022-08-26,128.3000030517578,239.5,2.212092001863286,14.838291275802334,113.46171177595548,,0.6457435884194984,,,,,,,,,,,,,,,
2022-08-29,126.3000030517578,235.0,2.186994177154256,14.729966340429655,111.57003671132816,,0.6465432890176858,Individual Breakup,,Lot BANKBARODA.NS Y,Lot  CANBK.NS X,Total Profit,Total Trade,,,,,,,,,
2022-08-30,130.85000610351562,241.1000061035156,2.4430668475973314,16.525491695456665,114.32451440805896,,0.7140859687845386,Margin of CANBK.NS X,Margin of BANKBARODA.NS Y,1,1,-35.9000244140625,1,,,,,,,,,
2022-09-01,133.4499969482422,244.5,2.5800796139395628,17.537830624460256,115.91216632378192,,0.7499692810432508,1,1,,,,,,,,,,,,,
2022-09-02,131.14999389648438,243.8000030517578,2.2655576644285995,15.45952535361323,115.69046854287114,,0.7079714445603749,,,,,,,,,,,,,,,
2022-09-05,133.85000610351562,245.3000030517578,2.5375856119023106,17.40324910482319,116.44675699869244,,0.7642818643013694,,,,,,,,,,,,,,,
2022-09-06,133.4499969482422,244.3000030517578,2.5155391127159343,17.345460893779403,116.10453605446278,,0.7577783790185586,,,,,,,,,,,,,,,
2022-09-07,134.1999969482422,241.1999969482422,2.7876304291317777,19.35680824707784,114.84318870116437,,0.8030860546606613,,,,,,,,,,,,,,,
2022-09-08,138.35000610351562,245.0,3.099743294776228,21.70763911958562,116.64236698393,,0.7770632274381505,,,,,,,,,,,,,,,
2022-09-09,138.0500030517578,243.5500030517578,3.1030237972739974,21.924761219975597,116.12524183178222,,0.7755349971994382,,,,,,,,,,,,,,,
2022-09-12,138.85000610351562,247.1000061035156,2.95334848767067,21.02828892518077,117.82171717833484,,0.7834110204006761,,,,,,,,,,,,,,,
2022-09-13,138.64999389648438,246.8999938964844,2.8978742926440137,20.793461333258804,117.85653256322556,,0.8789212681862997,,,,,,,,,,,,,,,
2022-09-14,140.4499969482422,255.3000030517578,2.5961670476200776,18.73176745245729,121.7182294957849,,0.7375535212746898,,,,,,,,,,,,,,,
2022-09-15,140.0500030517578,252.4499969482422,2.6808054359962656,19.47463968391796,120.57536336783986,,0.7729166833416544,,,,,,,,,,,,,,,
2022-09-16,137.25,244.3500061035156,2.7572523798054704,20.17975812988476,117.07024187011524,,0.7935337457377156,,,,,,,,,,,,,,,
2022-09-19,141.0500030517578,246.9499969482422,3.073090606285304,22.685598179153374,118.36440487260444,,0.8472886382789779,,,,,,,,,,,,,,,
2022-09-20,141.60000610351562,248.6999969482422,2.99989454233036,22.322889059512548,119.27711704400308,,0.8396602315815259,,,,,,,,,,,,,,,
2022-09-21,141.35000610351562,247.4499969482422,2.9978561000859734,22.503325944959244,118.84668015855638,,0.8486742632082442,,,,,,,,,,,,,,,
2022-09-22,138.4499969482422,242.9499969482422,2.8436091781933444,21.51676617777916,116.93323077046304,,0.8217932919924194,,,,,,,,,,,,,,,
2022-09-23,132.5,229.1000061035156,2.8469284759084927,21.72774505934065,110.77225494065937,,0.8321333124403685,,,,,,,,,,,,,,,
2022-09-26,128.14999389648438,217.1499938964844,2.9481429290630903,22.70241713799305,105.44757675849132,,0.858938148944207,,,,,,,,,,,,,,,
2022-09-27,127.75,214.25,3.0295105392478088,23.540989480783708,104.20901051921628,,0.8817743870643701,,,,,,,,,,,,,,,
2022-09-28,126.4499969482422,210.0,3.0728297650831924,24.096108399742405,102.35388854849978,,0.8959779229831957,,,,,,,,,,,,,,,
2022-09-29,127.4499969482422,215.3999938964844,2.8584866692549915,22.583419314198224,104.86657763404396,,0.8632347963393958,,,,,,,,,,,,,,,
2022-09-30,132.39999389648438,228.75,2.692392496424777,21.404521694948784,110.9954722015356,,0.8402552882098269,,,,,,,,,,,,,,,
2022-10-03,128.0500030517578,222.3500061035156,2.4873462544819405,19.891229364743424,108.1587736870144,,0.8145524147786907,,,,,,,,,,,,,,,
2022-10-04,133.8000030517578,227.1999969482422,2.898112751181645,23.35420841275064,110.44579463900718,,0.9413734120519512,,,,,,,,,,,,,,,
2022-10-06,134.89999389648438,227.0500030517578,3.005873609651822,24.431985197189235,110.46800869929514,,0.9453740355396972,,,,,,,,,,,,,,,
2022-10-07,135.3000030517578,229.0500030517578,2.908031961430477,23.828952472953603,111.4710505788042,,0.9449366927555912,,,,,,,,,,,,,,,
