Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-05-12,1249.0999755859375,547.25,-0.3277709277311808,-17.979815163273088,1267.0797907492106,,6.168209928143058e-05,1.0,2451.7000732421875,24.517000732421874,12.15800048828125,12.359000244140624,4.0,-4.580497021383888,-112.300048828125,-458.0497021383888,-128.2000732421875,15.9000244140625,1215.800048828125,1235.9000244140625,2.0,1.0
2022-05-13,1280.4000244140625,550.75,0.1502741933916782,8.243937238181388,1272.156087175881,,4.607443653665868e-05,2.0,2332.5499267578125,23.325499267578124,11.73199951171875,11.593499755859375,49.0,6.807996902280267,158.7999267578125,680.7996902280266,-29.0,187.7999267578125,1173.199951171875,1159.3499755859375,2.0,1.0
2022-05-16,1297.8499755859375,549.7000122070312,0.5053803826014437,27.688113303870068,1270.1618622820674,,4.4897555769726776e-05,,,,,10.694000244140625,,,,,,,1095.0999755859375,1069.4000244140625,2.0,1.0
2022-05-17,1311.3499755859375,554.8499755859375,0.6208897999909124,33.981293666038255,1277.3686819198992,,4.785763873661183e-05,,,,,,,,,,,,,,,
2022-05-18,1285.3499755859375,550.0,0.2852554250927716,15.589222665163334,1269.7607529207742,,4.775223254654942e-05,,,,,,,,,,,,,,,
2022-05-19,1250.949951171875,528.7000122070312,0.2419665768548641,13.199066289497068,1237.750884882378,,5.508212025398879e-05,,,,,,,,,,,,,,,
2022-05-20,1251.5999755859375,544.7000122070312,-0.1771215703266336,-9.667259663331151,1261.2672352492689,,5.148107225798033e-05,,,,,,,,,,,,,,,
2022-05-23,1220.8499755859375,551.1500244140625,-0.9058153893380668,-49.47547050622006,1270.3254460921576,,5.669404412633456e-05,,,,,,,,,,,,,,,
2022-05-24,1212.0999755859375,552.9000244140625,-1.1019388151993714,-60.24022640413364,1272.3402019900711,,4.6657250498482746e-05,Individual Breakup,,Lot ICICIGI.NS Y,Lot  HDFCLIFE.NS X,Total Profit,Total Trade,,,,,,,,,
2022-05-25,1249.550048828125,569.0999755859375,-0.8494759224751667,-46.4173121588517,1295.9673609869767,,3.323302637942585e-05,Margin of HDFCLIFE.NS X,Margin of ICICIGI.NS Y,1,0.0001220703125,47.499755859375,2,,,,,,,,,
2022-05-26,1267.800048828125,578.0499877929688,-0.7510594342985513,-40.970110455091344,1308.7701592832163,,2.2580931011238305e-05,1,1,,,,,,,,,,,,,
2022-05-27,1260.199951171875,598.0999755859375,-1.433744913901926,-78.12075502006701,1338.320706191942,,4.226500577510059e-05,,,,,,,,,,,,,,,
2022-05-30,1290.300048828125,608.9000244140625,-1.1741445648130282,-63.93540317101133,1354.2354519991363,,4.110656740892493e-05,,,,,,,,,,,,,,,
2022-05-31,1265.8499755859375,598.9500122070312,-1.3346275124771032,-72.67966503187222,1338.5296406178095,,3.2891987671053694e-05,,,,,,,,,,,,,,,
2022-06-01,1252.6500244140625,607.1500244140625,-1.7951085894085432,-97.81205747059312,1350.4620818846556,,5.935027037638398e-05,,,,,,,,,,,,,,,
2022-06-02,1235.9000244140625,607.9000244140625,-2.1071052049916963,-115.1370529827625,1351.037077396825,-1.0,4.08021157661872e-05,,,,,,,,,,,,,,,
2022-06-03,1218.300048828125,602.7000122070312,-2.2650915231036075,-123.7959254719226,1342.0959743000476,,3.4884218487870496e-05,,,,,,,,,,,,,,,
2022-06-06,1200.8499755859375,606.0999755859375,-2.659820543475852,-145.54012075586434,1346.3900963418018,,7.449795959771184e-05,,,,,,,,,,,,,,,
2022-06-07,1151.550048828125,605.2999877929688,-3.4911217341984084,-192.51415095914533,1344.0641997872704,,0.0002310196033065,,,,,,,,,,,,,,,
2022-06-08,1107.699951171875,599.9500122070312,-4.060705715257441,-226.62460795022457,1334.3245591220996,0.0,0.0004462507953376,,,,,,,,,,,,,,,
2022-06-09,1125.300048828125,604.9000244140625,-3.8317336212295934,-215.62641191507737,1340.9264607432024,,0.0001482739440959,,,,,,,,,,,,,,,
2022-06-10,1121.050048828125,593.0999755859375,-3.5335332277022014,-199.1895944339676,1320.2396432620926,,0.0001413953919639,,,,,,,,,,,,,,,
2022-06-13,1113.949951171875,582.0,-3.2994548721553545,-186.357448482788,1300.307399654663,,0.000581801021163,,,,,,,,,,,,,,,
2022-06-14,1145.800048828125,572.4000244140625,-2.4255501169408524,-137.4600284299163,1283.2600772580413,,0.0002194680647898,,,,,,,,,,,,,,,
2022-06-15,1150.75,579.75,-2.5219144687555075,-143.65071503066451,1294.4007150306643,,0.0002503076317386,,,,,,,,,,,,,,,
2022-06-16,1131.8499755859375,570.5499877929688,-2.55097274766915,-145.9537006941855,1277.803676280123,,0.0002996056507421,,,,,,,,,,,,,,,
2022-06-17,1113.199951171875,550.7999877929688,-2.2663795486976825,-130.0401017462168,1243.2400529180918,,0.0001830035196597,,,,,,,,,,,,,,,
2022-06-20,1126.3499755859375,553.1500244140625,-2.0764969647021188,-119.38453536200495,1245.7345109479425,,0.0002349699120237,,,,,,,,,,,,,,,
2022-06-21,1141.0,564.4500122070312,-2.129353577073687,-122.94599065180682,1263.9459906518068,,0.0002917037653551,,,,,,,,,,,,,,,
2022-06-22,1134.949951171875,551.7999877929688,-1.8379700794667089,-106.37755831388132,1241.3275094857563,,0.0002482170709282,,,,,,,,,,,,,,,
2022-06-23,1125.25,558.0999755859375,-2.165866948582284,-125.97192360091344,1251.2219236009134,,0.0003407439872604,,,,,,,,,,,,,,,
2022-06-24,1120.3499755859375,561.4500122070312,-2.32027503876082,-135.6755961408678,1256.0255717268053,,0.0004277456520609,,,,,,,,,,,,,,,
2022-06-27,1133.300048828125,558.0,-1.9740846702017527,-115.83842608815668,1249.1384749162817,,0.0002790143969209,,,,,,,,,,,,,,,
2022-06-28,1118.25,565.9500122070312,-2.4340285444002467,-143.60372012813878,1261.8537201281388,,0.0006241049866592,,,,,,,,,,,,,,,
2022-06-29,1111.5999755859375,541.25,-1.7956190791784112,-106.15359014806243,1217.753565734,,0.0003463799763306,,,,,,,,,,,,,,,
2022-06-30,1120.949951171875,550.0,-1.877458398548406,-111.44293868552086,1232.392889857396,,0.0003853959400793,,,,,,,,,,,,,,,
2022-07-01,1145.75,565.4500122070312,-1.9010140109600373,-113.33173383957728,1259.0817338395773,,0.0004274283753033,,,,,,,,,,,,,,,
2022-07-04,1161.800048828125,574.2999877929688,-1.877820018671703,-112.39141640689468,1274.1914652350197,,0.0004367605039265,,,,,,,,,,,,,,,
2022-07-05,1187.050048828125,564.8499755859375,-1.1707165999594304,-70.13045375566321,1257.1805025837882,,0.0002350036188938,,,,,,,,,,,,,,,
2022-07-06,1232.25,557.4500122070312,-0.1995135645174101,-11.941036175763202,1244.1910361757632,,0.0001523794156629,,,,,,,,,,,,,,,
2022-07-07,1278.4000244140625,554.5999755859375,0.6488954923716896,38.82509404404868,1239.5749303700138,,0.0001423895083833,,,,,,,,,,,,,,,
2022-07-08,1276.199951171875,545.3499755859375,0.8756592146702904,52.36203499106068,1223.8379161808143,,0.0001527156651707,,,,,,,,,,,,,,,
2022-07-11,1266.050048828125,546.6500244140625,0.6587360262482658,39.37324358396495,1226.67680524416,,0.0001266927185964,,,,,,,,,,,,,,,
2022-07-12,1230.6500244140625,539.75,0.2629968516646614,15.69287075972943,1214.957153654333,,0.0001263252997271,,,,,,,,,,,,,,,
2022-07-13,1231.949951171875,539.5,0.2866880383283897,17.091741993555615,1214.8582091783194,,0.0001546055891278,,,,,,,,,,,,,,,
2022-07-14,1250.699951171875,537.1500244140625,0.6634009057754214,39.55474267726413,1211.1452084946109,,0.0001623125726893,,,,,,,,,,,,,,,
2022-07-15,1254.3499755859375,539.9000244140625,0.6370156194929399,37.99056335892988,1216.3594122270076,,0.0001550702854036,,,,,,,,,,,,,,,
2022-07-18,1271.75,542.75,0.8359184250246382,49.869165221617095,1221.880834778383,,0.0001295520769608,,,,,,,,,,,,,,,
2022-07-19,1270.5,535.9000244140625,1.004745814876575,59.87648881531232,1210.6235111846877,,0.0001616473570279,,,,,,,,,,,,,,,
2022-07-20,1216.8499755859375,525.2000122070312,0.4111521574207583,24.463174952808004,1192.3868006331295,,0.0001139133690153,,,,,,,,,,,,,,,
2022-07-21,1225.300048828125,529.0999755859375,0.4326148211332414,25.71149929190915,1199.588549536216,,0.0001126010903889,,,,,,,,,,,,,,,
2022-07-22,1215.050048828125,535.0,0.0842641568241512,5.002167804374039,1210.047881023751,,8.901319422914696e-05,,,,,,,,,,,,,,,
2022-07-25,1189.199951171875,526.75,-0.1118741780310072,-6.62399233453516,1195.8239435064102,,0.0001120910460373,,,,,,,,,,,,,,,
2022-07-26,1157.0,522.5499877929688,-0.5304249507186508,-31.37252720335914,1188.3725272033591,,0.0001099293471314,,,,,,,,,,,,,,,
2022-07-27,1188.3499755859375,521.25,0.0344371073453156,2.0341157323425705,1186.315859853595,,0.0001486338053166,,,,,,,,,,,,,,,
2022-07-28,1189.199951171875,531.5999755859375,-0.2547980583389717,-15.060357907819936,1204.260309079695,,0.0001507110273699,,,,,,,,,,,,,,,
2022-07-29,1219.9000244140625,555.5,-0.4367367307761174,-25.84989855540971,1245.7499229694722,,0.000152319810925,,,,,,,,,,,,,,,
2022-08-01,1230.800048828125,546.0499877929688,0.0267697703232481,1.5836551378702095,1229.2163936902548,,0.0001312268628414,,,,,,,,,,,,,,,
2022-08-02,1241.9000244140625,538.5,0.4366127201417324,25.812826551639773,1216.0871978624227,,0.0001478440687562,,,,,,,,,,,,,,,
2022-08-03,1229.550048828125,535.3499755859375,0.3195732428991455,18.89024661853477,1210.6598022095902,,0.0001327732404991,,,,,,,,,,,,,,,
2022-08-04,1202.199951171875,534.9000244140625,-0.1262955154275318,-7.461405395242764,1209.6613565671178,,0.0001482276000499,,,,,,,,,,,,,,,
2022-08-05,1199.8499755859375,539.25,-0.2916841510884271,-17.237477919925823,1217.087453505863,,0.0001390846048855,,,,,,,,,,,,,,,
2022-08-08,1214.0999755859375,536.75,0.025457060015607,1.5035830269544022,1212.596392558983,,0.0001316710557294,,,,,,,,,,,,,,,
2022-08-10,1230.6500244140625,540.9000244140625,0.1846157335915917,10.901381976739913,1219.7486424373226,,0.0001534804923644,,,,,,,,,,,,,,,
2022-08-11,1240.949951171875,541.5499877929688,0.3381525697151625,19.97037560748072,1220.9795755643945,,0.0001580613937596,,,,,,,,,,,,,,,
2022-08-12,1237.8499755859375,544.9500122070312,0.1833813673449159,10.831973763913313,1227.0180018220242,,0.0001565117653461,,,,,,,,,,,,,,,
2022-08-16,1296.0,570.5999755859375,0.4093953139270678,24.20887228056108,1271.791127719439,,0.0001678663362338,,,,,,,,,,,,,,,
2022-08-17,1355.5,589.3499755859375,0.8581596376217026,50.805989072915054,1304.694010927085,,0.0001908290252687,,,,,,,,,,,,,,,
2022-08-18,1326.75,586.75,0.446663582606244,26.445655348692757,1300.3043446513072,,0.0001606293524991,,,,,,,,,,,,,,,
2022-08-19,1289.300048828125,576.6500244140625,0.1091554543960331,6.459532919699086,1282.840515908426,,0.0001393007115156,,,,,,,,,,,,,,,
2022-08-22,1260.6500244140625,566.6500244140625,-0.0833110689669463,-4.925547925004139,1265.5755723390666,,0.0001261804237733,,,,,,,,,,,,,,,
2022-08-23,1249.449951171875,565.8499755859375,-0.2516100280208968,-14.861973173396336,1264.311924345271,,0.0001380606365085,,,,,,,,,,,,,,,
2022-08-24,1243.75,566.6500244140625,-0.3729429288995805,-22.019318471269344,1265.7693184712691,,0.0001439060547509,,,,,,,,,,,,,,,
2022-08-25,1260.300048828125,571.0499877929688,-0.2236229041700322,-13.199628745298014,1273.499677573423,,0.0001536642977761,,,,,,,,,,,,,,,
2022-08-26,1260.050048828125,566.9000244140625,-0.1065555736195236,-6.287958271161642,1266.3380070992866,,0.00015088070092,,,,,,,,,,,,,,,
2022-08-29,1258.449951171875,560.9500122070312,0.0396266121076831,2.3375464487767204,1256.1124047230985,,0.0001473201243189,,,,,,,,,,,,,,,
2022-08-30,1288.300048828125,575.2000122070312,0.1236847649032754,7.297996682420489,1281.0020521457045,,0.0001473473650103,,,,,,,,,,,,,,,
2022-09-01,1271.5,575.5999755859375,-0.1739903335764602,-10.264244692331204,1281.7642446923312,,0.0001576794167647,,,,,,,,,,,,,,,
2022-09-02,1259.0,574.8499755859375,-0.3626560759932101,-21.39646364603982,1280.3964636460398,,0.0001612135432734,,,,,,,,,,,,,,,
2022-09-05,1261.8499755859375,573.6500244140625,-0.2772333069365971,-16.356756311488198,1278.2067318974257,,0.0001596040077396,,,,,,,,,,,,,,,
2022-09-06,1218.949951171875,573.5,-0.996682489917191,-58.85109368556414,1277.8010448574391,,0.0001856069285809,,,,,,,,,,,,,,,
2022-09-07,1249.3499755859375,576.9500122070312,-0.5827931872573885,-34.41965880771227,1283.7696343936498,,0.0001140908323496,,,,,,,,,,,,,,,
2022-09-08,1228.699951171875,584.3499755859375,-1.1513601288371886,-67.9746988632337,1296.6746500351087,,0.0001489079398856,,,,,,,,,,,,,,,
2022-09-09,1221.300048828125,575.9500122070312,-1.0300354830987497,-60.76803340659103,1282.068082234716,,0.0001977663866443,,,,,,,,,,,,,,,
