Dates,DRREDDY.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-05-22,4457.64990234375,606.0,-2.9522605116138223,-585.4609701762965,5043.110872520047,-1.0,0.0258222438145868,1.0,8699.64990234375,86.99649902343751,42.42,44.5764990234375,24.0,3.9915399343420495,347.25,399.15399343420506,536.25,-189.0,4242.0,4457.64990234375,7.0,1.0
2023-05-23,4460.5498046875,609.0,-2.9402964036845267,-587.9004907663839,5048.450295453884,,0.0347566482203588,2.0,12115.0498046875,121.150498046875,62.3439990234375,58.8064990234375,19.0,6.624407707001179,802.55029296875,662.4407707001179,660.80029296875,141.75,6234.39990234375,5880.64990234375,8.0,1.0
2023-05-24,4519.25,608.5499877929688,-2.593626840605102,-520.8066210660181,5040.056621066018,,0.0227009590752484,3.0,12057.549926757812,120.57549926757812,59.016998291015625,61.5585009765625,28.0,6.136822015357278,739.9503784179688,613.6822015357278,687.4000854492188,52.55029296875,5901.6998291015625,6155.85009765625,7.0,1.0
2023-05-25,4503.9501953125,607.4000244140625,-2.6037502477702508,-525.089088703734,5029.039284016234,,0.0445833718822757,,,,,60.1085009765625,,,,,,,6264.0,6010.85009765625,6.0,1.0
2023-05-26,4530.9501953125,591.4000244140625,-2.144578145756473,-434.1047336950578,4965.054929007558,,0.0176815451394584,,,,,,,,,,,,,,,
2023-05-29,4556.25,594.5,-2.0465048904112084,-415.4513426812482,4971.701342681248,,0.0191579953293565,,,,,,,,,,,,,,,
2023-05-30,4518.89990234375,595.4500122070312,-2.214851309947021,-451.3753241375016,4970.275226481252,,0.0214086335731917,,,,,,,,,,,,,,,
2023-05-31,4501.0498046875,597.75,-2.308565585220172,-472.6545420526236,4973.704346740124,,0.0386568545118075,,,,,,,,,,,,,,,
2023-06-01,4552.0498046875,609.5999755859375,-2.2310604121108835,-458.48750138193645,5010.537306069436,,0.0306930732251596,,,,,,,,,,,,,,,
2023-06-02,4610.4501953125,614.1500244140625,-1.9940469053395335,-411.0970336135424,5021.547228926042,,0.0231119202459168,Individual Breakup,,Lot DRREDDY.NS Y,Lot  GLENMARK.NS X,Total Profit,Total Trade,,,,,,,,,
2023-06-05,4603.5498046875,618.0499877929688,-2.0588485971993644,-425.805776471585,5029.355581159085,,0.0277810341050664,Margin of GLENMARK.NS X,Margin of DRREDDY.NS Y,1,27.199951171875,1863.5507202148438,3,,,,,,,,,
2023-06-06,4636.64990234375,631.5,-2.083239501506992,-431.5248537168518,5068.174756060602,,0.028010092582224,1,1,,,,,,,,,,,,,
2023-06-07,4673.75,663.0499877929688,-2.370975628506357,-491.6219731541878,5165.371973154188,,0.0509047461174431,,,,,,,,,,,,,,,
2023-06-08,4649.39990234375,648.4000244140625,-2.194782869417229,-456.6379637571017,5106.037866100852,,0.0429154571173961,,,,,,,,,,,,,,,
2023-06-09,4666.7998046875,636.0499877929688,-1.8703319646783336,-389.8625522381281,5056.662356925628,,0.0353124346165832,,,,,,,,,,,,,,,
2023-06-12,4675.64990234375,638.5499877929688,-1.830854755955226,-382.4636661312097,5058.11356847496,,0.0328464067934959,,,,,,,,,,,,,,,
2023-06-13,4702.0,649.0,-1.8300142763152516,-382.94172418090056,5084.941724180901,,0.0329433453123915,,,,,,,,,,,,,,,
2023-06-14,4699.0,637.4500122070312,-1.6310897556040065,-342.07479000841704,5041.074790008417,,0.0276684993025952,,,,,,,,,,,,,,,
2023-06-15,4803.4501953125,642.4500122070312,-1.1818722512715834,-247.76539390836297,5051.215589220863,,0.0209897820592224,,,,,,,,,,,,,,,
2023-06-16,4915.0498046875,642.4500122070312,-0.6285349203339308,-131.61244439666007,5046.66224908416,,0.0134388690589973,,,,,,,,,,,,,,,
2023-06-19,4879.0,640.4000244140625,-0.7477949847023126,-156.4346129919868,5035.434612991987,,0.0114323793198442,,,,,,,,,,,,,,,
2023-06-20,4901.2001953125,643.8499755859375,-0.6715909989012738,-140.31686976416404,5041.517065076664,,0.0104790063678631,,,,,,,,,,,,,,,
2023-06-21,4910.39990234375,643.0499877929688,-0.5911512651777663,-123.31355063232512,5033.713452976075,,0.0051369977558488,,,,,,,,,,,,,,,
