Dates,ABCAPITAL.NS Y,IDFC.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of IDFC.NS X,Effective Margin of ABCAPITAL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ABCAPITAL.NS X,Effective Investment of ABCAPITAL.NS Y,Multiplier X,Multiplier Y
2022-11-16,125.6999969482422,78.44999694824219,-0.2947863047781363,-2.972855467825952,128.67285241606814,,0.0575747807315879,3.0,401.6999969482422,4.016999969482422,2.053999938964844,1.963000030517578,3.0,7.630074530277529,30.65000915527344,763.007453027753,23.20001220703125,7.4499969482421875,205.3999938964844,196.3000030517578,2.0,1.0
2022-11-17,125.8000030517578,77.6500015258789,-0.2084205015794174,-2.101218057334279,127.90122110909208,,0.0515419382719186,,,,,1.8014999389648438,,,,,,,127.3499984741211,180.1499938964844,1.0,1.0
2022-11-18,125.0,77.75,-0.2796233597938953,-2.8155520681795565,127.81555206817956,,0.0506267233632621,,,,,,,,,,,,,,,
2022-11-21,126.3499984741211,77.4000015258789,-0.1048572092264493,-1.0546149708852823,127.40461344500638,,0.0429551804179484,,,,,,,,,,,,,,,
2022-11-22,125.6999969482422,78.94999694824219,-0.2772435389164538,-2.780883254781486,128.48088020302367,,0.0370211098191524,,,,,,,,,,,,,,,
2022-11-23,129.0,79.55000305175781,0.0156540176948822,0.156566329680345,128.84343367031963,,0.033242250858811,,,,,,,,,,,,,,,
2022-11-24,128.9499969482422,78.4000015258789,0.109886448533675,1.0967060248318037,127.85329092341038,,0.0287435939400814,,,,,,,,,,,,,,,
2022-11-25,135.3000030517578,80.19999694824219,0.6130616688194922,6.094361433227874,129.20564161852994,,0.0519039811491914,Individual Breakup,,Lot ABCAPITAL.NS Y,Lot  IDFC.NS X,Total Profit,Total Trade,,,,,,,,,
2022-11-28,137.0500030517578,82.30000305175781,0.6252629896108161,6.202696407733413,130.8473066440244,,0.0678261750132452,Margin of IDFC.NS X,Margin of ABCAPITAL.NS Y,1,-4.0,88.64999389648438,3,,,,,,,,,
2022-11-29,144.10000610351562,80.80000305175781,1.4272233863833166,14.19821065402462,129.901795449491,,0.0857557910847292,1,1,,,,,,,,,,,,,
2022-11-30,145.35000610351562,81.94999694824219,1.4421522439016194,14.36137561603232,130.9886304874833,,0.0878893632426046,,,,,,,,,,,,,,,
2022-12-01,145.6999969482422,82.94999694824219,1.3776381245774156,13.73205276977933,131.96794417846286,,0.0844069294225495,,,,,,,,,,,,,,,
2022-12-02,151.6999969482422,83.80000305175781,1.877047015534817,18.75977683590463,132.94022011233756,,0.1190517649834051,,,,,,,,,,,,,,,
2022-12-05,158.64999389648438,85.1500015258789,2.407856522854186,24.18223550801514,134.46775838846924,1.0,0.0965929973033878,,,,,,,,,,,,,,,
2022-12-06,158.4499969482422,84.1500015258789,2.409502556925921,24.35582881507264,134.09416813316955,,0.1004506915807404,,,,,,,,,,,,,,,
2022-12-07,159.5500030517578,83.5,2.5083419724364826,25.531704641008304,134.0182984107495,,0.1150391893671046,,,,,,,,,,,,,,,
2022-12-08,160.8000030517578,84.05000305175781,2.5258657330253484,25.86959637425832,134.9304066774995,,0.1136674667848397,,,,,,,,,,,,,,,
2022-12-09,156.0,82.19999694824219,2.1644829484628865,22.29889467204194,133.70110532795806,,0.084785732514222,,,,,,,,,,,,,,,
2022-12-12,157.10000610351562,83.1500015258789,2.1506226585769475,22.24380602546762,134.856200078048,,0.0717588023710295,,,,,,,,,,,,,,,
2022-12-13,156.39999389648438,83.80000305175781,1.9909323784896296,20.662378044547097,135.73761585193728,,0.1547171643190983,,,,,,,,,,,,,,,
2022-12-14,155.75,85.4000015258789,1.759958368183403,18.30145495742201,137.448545042578,,0.1313282662969068,,,,,,,,,,,,,,,
2022-12-15,153.64999389648438,84.80000305175781,1.5814646724563133,16.487988679601813,137.16200521688256,,0.0534044170265411,,,,,,,,,,,,,,,
2022-12-16,152.75,83.30000305175781,1.5983360635352972,16.714726235301413,136.0352737646986,,0.0979781283541259,,,,,,,,,,,,,,,
2022-12-19,154.5500030517578,86.05000305175781,1.5181945363053135,15.864089863469983,138.68591318828783,,0.0933162214925131,,,,,,,,,,,,,,,
2022-12-20,153.64999389648438,84.05000305175781,1.5870200423394325,16.618955422431696,137.03103847405268,,0.123798434625652,,,,,,,,,,,,,,,
2022-12-21,148.60000610351562,80.75,1.3747589589989568,14.440258293901252,134.15974780961437,,0.1048500631140912,,,,,,,,,,,,,,,
2022-12-22,147.85000610351562,79.75,1.377884120950558,14.495927252781968,133.35407885073366,,0.1070711532713168,,,,,,,,,,,,,,,
2022-12-23,143.35000610351562,74.4000015258789,1.404024305493797,14.820638876319094,128.52936722719653,,0.1049003767657594,,,,,,,,,,,,,,,
2022-12-26,147.5500030517578,77.25,1.5445353283214305,16.309909783435387,131.24009326832245,,0.12187119854283,,,,,,,,,,,,,,,
2022-12-27,148.0500030517578,78.25,1.492679986296014,15.780741499596331,132.26926155216148,,0.1178299317513604,,,,,,,,,,,,,,,
2022-12-28,147.60000610351562,78.5,1.4172132980504142,15.00085303798636,132.59915306552926,,0.1252606127277835,,,,,,,,,,,,,,,
2022-12-29,150.14999389648438,78.55000305175781,1.6357777686540649,17.35615874913705,132.79383514734732,,0.1468098903341905,,,,,,,,,,,,,,,
2022-12-30,150.1999969482422,81.30000305175781,1.3842372479782608,14.695470969499295,135.5045259787429,,0.0625915467836013,,,,,,,,,,,,,,,
2023-01-02,155.39999389648438,84.44999694824219,1.5745664424012171,16.728584380162744,138.67140951632163,,0.1372860893185341,,,,,,,,,,,,,,,
2023-01-03,154.35000610351562,84.75,1.4288546019140838,15.205070416706349,139.14493568680928,,0.1266947928716518,,,,,,,,,,,,,,,
2023-01-04,148.25,83.1500015258789,0.985653257781203,10.504628394697022,137.74537160530298,,0.0989295444025752,,,,,,,,,,,,,,,
2023-01-05,149.60000610351562,84.0,1.0247203625457528,10.923752964267464,138.67625313924816,,0.0982553592387444,,,,,,,,,,,,,,,
2023-01-06,145.3000030517578,82.94999694824219,0.7093955010540387,7.56622473885534,137.73377831290247,,0.0819671007543534,,,,,,,,,,,,,,,
2023-01-09,146.60000610351562,84.19999694824219,0.714372594322311,7.612665689750401,138.98734041376522,,0.0432827258302074,,,,,,,,,,,,,,,
2023-01-10,143.39999389648438,83.44999694824219,0.478873054856187,5.103232256047818,138.29676164043656,,0.0225755303724285,,,,,,,,,,,,,,,
2023-01-11,147.0,84.5999984741211,0.7078343559782929,7.538915213970711,139.4610847860293,,0.0263528531626853,,,,,,,,,,,,,,,
2023-01-12,146.3000030517578,83.5999984741211,0.7249276836179378,7.725154574821829,138.57484847693598,,0.0232109159648987,,,,,,,,,,,,,,,
2023-01-13,148.9499969482422,85.3499984741211,0.8102380224957865,8.625569462425744,140.32442748581644,,0.0354167975326628,,,,,,,,,,,,,,,
2023-01-16,147.64999389648438,87.94999694824219,0.4520102419739584,4.802378538102772,142.8476153583816,,0.015567588544522,,,,,,,,,,,,,,,
2023-01-17,146.9499969482422,86.69999694824219,0.4961810866421715,5.271168628037287,141.6788283202049,,0.0144955180477977,,,,,,,,,,,,,,,
2023-01-18,148.14999389648438,87.30000305175781,0.5538541166905029,5.876687342552316,142.27330655393206,,0.022315173642605,,,,,,,,,,,,,,,
2023-01-19,147.6999969482422,87.1500015258789,0.5247270841365295,5.562682611709647,142.13731433653254,,0.020631823903639,,,,,,,,,,,,,,,
2023-01-20,145.60000610351562,87.19999694824219,0.3267549980282568,3.457627136286732,142.1423789672289,,0.0275024191755256,,,,,,,,,,,,,,,
2023-01-23,145.75,87.0,0.3654098166164308,3.853943436609029,141.89605656339097,,0.0387489164421074,,,,,,,,,,,,,,,
2023-01-24,144.14999389648438,85.8499984741211,0.3233621565492366,3.401360355261972,140.7486335412224,,0.0389772045787901,,,,,,,,,,,,,,,
