Dates,AXISBANK.NS Y,RBLBANK.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of RBLBANK.NS X,Effective Margin of AXISBANK.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of AXISBANK.NS X,Effective Investment of AXISBANK.NS Y,Multiplier X,Multiplier Y
2023-07-12,950.0,197.1999969482422,1.1444710422064932,97.76170549897938,852.2382945010206,,0.4040680453139254,,,,,,,,,,,,,,,
2023-07-13,960.1500244140624,197.8500061035156,1.2355568784035806,105.51635896997618,854.6336654440863,,0.5156966164085661,,,,,,,,,,,,,,,
2023-07-14,957.0499877929688,211.6000061035156,0.9883368053916312,84.19621738953958,872.8537704034292,,0.4594824418279637,,,,,,,,,,,,,,,
2023-07-17,964.8499755859376,226.6499938964844,0.8417358549033548,71.46702476910639,893.3829508168311,,0.4545702098933111,,,,,,,,,,,,,,,
2023-07-18,963.6500244140624,219.0500030517578,0.9137541596755464,77.60435003902808,886.0456743750344,,0.4823947659344528,,,,,,,,,,,,,,,
2023-07-19,964.2999877929688,213.1000061035156,0.9885471539508316,83.98195209865742,880.3180356943113,,0.4309088328451909,,,,,,,,,,,,,,,
2023-07-20,977.9000244140624,219.6499938964844,1.0265909491613705,87.03503698993995,890.8649874241225,,0.4159090196507816,,,,,,,,,,,,,,,
2023-07-21,971.2999877929688,221.6000061035156,0.895940046349324,75.81224854838251,895.4877392445862,,0.3764954853477172,,,,,,,,,,,,,,,
2023-07-24,971.5,222.0,0.8693987945476398,73.42341745395265,898.0765825460473,,0.3317370872394515,,,,,,,,,,,,,,,
2023-07-25,962.5,223.3000030517578,0.7197596122975607,60.61464434739492,901.8853556526052,,0.3376471507046842,,,,,,,,,,,,,,,
2023-07-26,976.7999877929688,239.1999969482422,0.6062118274966471,50.80013193846321,925.9998558545057,,0.4048391020976288,,,,,,,,,,,,,,,
2023-07-27,959.9000244140624,232.6000061035156,0.4955825900505618,41.511609809626975,918.3884146044356,,0.4530567959888009,,,,,,,,,,,,,,,
