Dates,ABBOTINDIA.NS Y,LUPIN.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of LUPIN.NS X,Effective Margin of ABBOTINDIA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ABBOTINDIA.NS X,Effective Investment of ABBOTINDIA.NS Y,Multiplier X,Multiplier Y
2023-05-18,20970.55078125,779.2999877929688,1.0167543168834594,1769.9041436795633,19200.64663757044,,0.4659796544678724,1.0,46197.70068359375,461.9770068359375,231.0420068359375,230.935,82.0,21.72153263977527,10034.8486328125,2172.153263977527,9371.5986328125,663.25,23104.20068359375,23093.5,28.0,1.0
2023-05-19,20898.44921875,774.4000244140625,0.9629432614527492,1676.2668549403245,19222.18236380968,,0.4531756897190213,,,,,,,,,,,,,,,
2023-05-22,21373.099609375,774.4000244140625,1.2312854420964745,2144.702247090092,19228.397362284908,,0.4827373493243124,,,,,,,,,,,,,,,
2023-05-23,21508.099609375,776.8499755859375,1.3085845094924402,2280.79519710326,19227.30441227174,,0.4990270828190714,,,,,,,,,,,,,,,
2023-05-24,21470.0,777.9500122070312,1.28416877294091,2239.3497091726317,19230.65029082737,,0.4870607057126949,,,,,,,,,,,,,,,
2023-05-25,21840.900390625,778.8499755859375,1.492357821054057,2605.532804373732,19235.36758625127,,0.5204045338351574,,,,,,,,,,,,,,,
2023-05-26,21901.44921875,779.9500122070312,1.522679097126046,2661.7081919266675,19239.741026823333,,0.5216076690232171,Individual Breakup,,Lot ABBOTINDIA.NS Y,Lot  LUPIN.NS X,Total Profit,Total Trade,,,,,,,,,
2023-05-29,21893.80078125,805.7000122070312,1.5557724235760455,2722.7495555165005,19171.0512257335,,0.5352927719773811,Margin of LUPIN.NS X,Margin of ABBOTINDIA.NS Y,1,1,10034.8486328125,1,,,,,,,,,
2023-05-30,22054.599609375,803.5999755859375,1.6360554122747908,2867.696241304726,19186.903368070278,,0.5553807109910095,1,1,,,,,,,,,,,,,
2023-05-31,21737.900390625,804.5,1.4503683943732784,2544.342161683471,19193.55822894153,,0.526318084377539,,,,,,,,,,,,,,,
2023-06-01,21602.650390625,812.1500244140625,1.3793521347459292,2421.0635745867585,19181.58681603824,,0.534659155817725,,,,,,,,,,,,,,,
2023-06-02,21927.25,816.9500122070312,1.563991737114234,2747.84981233719,19179.40018766281,,0.5553457255075734,,,,,,,,,,,,,,,
2023-06-05,21832.150390625,820.2999877929688,1.507332549141747,2650.519707959913,19181.630682665087,,0.552263459609358,,,,,,,,,,,,,,,
2023-06-06,21823.05078125,821.6500244140625,1.4964704448026955,2633.6770106732256,19189.37377057677,,0.5446817584908236,,,,,,,,,,,,,,,
2023-06-07,21865.80078125,817.6500244140625,1.5073299430162528,2655.214951495571,19210.58582975443,,0.5509855096324768,,,,,,,,,,,,,,,
2023-06-08,21645.25,811.8499755859375,1.3675130011172458,2410.715579807118,19234.53442019288,,0.5238104310554397,,,,,,,,,,,,,,,
2023-06-09,21791.150390625,806.4000244140625,1.4362282288584298,2533.688956567792,19257.461434057208,,0.5407428677537741,,,,,,,,,,,,,,,
2023-06-12,21960.400390625,818.9000244140625,1.5404068610058066,2720.669858134006,19239.730532490998,,0.5625407538518529,,,,,,,,,,,,,,,
2023-06-13,22155.69921875,817.4500122070312,1.640249432784654,2901.150255980483,19254.54896276952,,0.5569226337396727,,,,,,,,,,,,,,,
2023-06-14,22038.69921875,818.75,1.567343990095611,2775.535500387421,19263.16371836258,,0.5366074624166225,,,,,,,,,,,,,,,
2023-06-15,22432.55078125,834.75,1.7973283691394504,3188.8443188993406,19243.70646235066,,0.5924060124936585,,,,,,,,,,,,,,,
2023-06-16,22711.5,830.4500122070312,1.936901438223806,3445.0657665179133,19266.434233482087,,0.6448311565433327,,,,,,,,,,,,,,,
2023-06-19,23093.5,825.1500244140625,2.130665050344684,3802.5784348489287,19290.92156515107,1.0,0.6603142126730417,,,,,,,,,,,,,,,
2023-06-20,22996.900390625,829.9000244140625,2.067117823947583,3699.112484839665,19297.78790578533,,0.6718779653986467,,,,,,,,,,,,,,,
2023-06-21,22678.900390625,875.0499877929688,1.918537920449189,3439.036838954202,19239.8635516708,,0.6426119281618071,,,,,,,,,,,,,,,
2023-06-22,22554.849609375,852.3499755859375,1.8155018985796083,3260.197125968767,19294.652483406237,,0.6331700772635857,,,,,,,,,,,,,,,
2023-06-23,22659.30078125,858.25,1.864780910269264,3356.1892645827465,19303.111516667253,,0.646059813012668,,,,,,,,,,,,,,,
2023-06-26,22841.150390625,874.0,1.96212193364617,3538.68662710231,19302.46376352269,,0.6920119871668167,,,,,,,,,,,,,,,
2023-06-27,22707.80078125,881.7000122070312,1.877928858027574,3393.88636354464,19313.91441770536,,0.6657153768244146,,,,,,,,,,,,,,,
2023-06-28,23202.30078125,889.5999755859375,2.136564943024829,3872.749896454621,19329.55088479538,,0.725008165460599,,,,,,,,,,,,,,,
2023-06-30,23419.150390625,902.75,2.240571429708899,4074.8666424094736,19344.283748215526,,0.7427290417965396,,,,,,,,,,,,,,,
2023-07-03,23249.69921875,892.2999877929688,2.120846711808992,3868.9359229333713,19380.76329581663,,0.7274978026485739,,,,,,,,,,,,,,,
2023-07-04,23209.19921875,891.4000244140625,2.0783447532516437,3803.6458801914378,19405.55333855856,,0.7297644793013038,,,,,,,,,,,,,,,
2023-07-05,23306.0,897.2999877929688,2.11238492981379,3878.635652159996,19427.364347840004,,0.7397264118804836,,,,,,,,,,,,,,,
2023-07-06,23825.75,905.2999877929688,2.371394458216886,4373.260299001071,19452.48970099893,,0.7887431657410486,,,,,,,,,,,,,,,
2023-07-07,23499.400390625,900.5999755859375,2.170330320695663,4016.565600782702,19482.834789842294,,0.7468173983502631,,,,,,,,,,,,,,,
2023-07-10,23470.44921875,900.8499755859376,2.1322267719935346,3959.092823993949,19511.35639475605,,0.735975003299425,,,,,,,,,,,,,,,
2023-07-11,23693.19921875,914.2000122070312,2.227592168776328,4150.954655671656,19542.244563078344,,0.7646055280508433,,,,,,,,,,,,,,,
2023-07-12,23564.5,940.5,2.1311248408525483,3982.257835924873,19582.242164075127,,0.7418953181758883,,,,,,,,,,,,,,,
2023-07-13,23392.55078125,930.75,2.0145074286664606,3774.682625622914,19617.86815562709,,0.6278980573905324,,,,,,,,,,,,,,,
2023-07-14,23293.900390625,930.9500122070312,1.9372248939735648,3638.3704795771264,19655.529911047877,,0.6834438729868851,,,,,,,,,,,,,,,
2023-07-17,23151.94921875,934.4000244140624,1.8361415333978195,3453.9790813741056,19697.97013737589,,0.6986727056555505,,,,,,,,,,,,,,,
2023-07-18,23345.650390625,933.9500122070312,1.913706248012344,3607.182701567144,19738.467689057856,,0.6809647605058631,,,,,,,,,,,,,,,
2023-07-19,23468.650390625,932.75,1.952980962620791,3689.1530270546064,19779.497363570397,,0.6042541399284707,,,,,,,,,,,,,,,
2023-07-20,23665.099609375,946.0999755859376,2.0202949585641714,3825.470878713521,19839.62873066148,,0.7811976736784971,,,,,,,,,,,,,,,
2023-07-21,23183.849609375,936.7000122070312,1.7480584981682743,3315.8894292481164,19867.960180126884,,0.4910000549667495,,,,,,,,,,,,,,,
2023-07-24,23171.25,936.7999877929688,1.719102406991618,3266.4387321507857,19904.81126784921,,0.4848497305137575,,,,,,,,,,,,,,,
