Dates,TORNTPHARM.NS Y,ABBOTINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABBOTINDIA.NS X,Effective Margin of TORNTPHARM.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of TORNTPHARM.NS X,Effective Investment of TORNTPHARM.NS Y,Multiplier X,Multiplier Y
2023-07-13,1930.3499755859373,23392.55078125,2.43612903725706,213.0035701084917,1717.3464054774458,,0.0518837531763043,,,,,,,,,,,,,,,
2023-07-14,1945.199951171875,23293.900390625,2.6147525164115724,230.16255155022327,1715.0373996216515,,0.0640040986202864,,,,,,,,,,,,,,,
2023-07-17,1942.800048828125,23151.94921875,2.6219079018149247,232.38771660572505,1710.4123322224,,0.0686566333361123,,,,,,,,,,,,,,,
2023-07-18,1928.5,23345.650390625,2.3162581299910925,206.2796143798546,1722.2203856201454,,0.0490272578642052,,,,,,,,,,,,,,,
2023-07-19,1924.550048828125,23468.650390625,2.169333313594872,193.94191705485517,1730.60813177327,,0.0434276442291403,,,,,,,,,,,,,,,
2023-07-20,1930.3499755859373,23665.099609375,2.0906345181460857,187.5302867756409,1742.8196888102966,,0.0382941870215898,,,,,,,,,,,,,,,
2023-07-21,1938.75,23183.849609375,2.4200651251771244,218.3800660767856,1720.3699339232144,,0.2265271266664596,,,,,,,,,,,,,,,
2023-07-24,1941.0,23171.25,2.4158199744889104,219.25052122259692,1721.749478777403,,0.2382518083536777,,,,,,,,,,,,,,,
2023-07-25,1972.5,22986.400390625,2.8232549613279856,258.15271652681304,1714.347283473187,,0.2966147720374197,,,,,,,,,,,,,,,
2023-07-26,1970.800048828125,22945.44921875,2.784036510215731,256.5236635559188,1714.2763852722062,,0.2784064070677975,,,,,,,,,,,,,,,
2023-07-27,1992.0,23705.849609375,2.5349820108915337,234.74236149401827,1757.2576385059815,,0.2459347196899007,,,,,,,,,,,,,,,
2023-07-28,1990.300048828125,24059.94921875,2.2723520901523897,211.37695707752164,1778.9230917506034,,0.2024121327903055,,,,,,,,,,,,,,,
2023-07-31,2002.8499755859373,24068.599609375,2.359888436553753,220.7593568726056,1782.090618713332,,0.2107515927725577,,,,,,,,,,,,,,,
2023-08-01,1983.5,23943.19921875,2.189491484254503,205.7257810424544,1777.7742189575456,,0.2209884149289575,,,,,,,,,,,,,,,
2023-08-02,1965.800048828125,24084.69921875,1.888103544172249,177.8675555746886,1787.9324932534364,,0.2041655187055969,,,,,,,,,,,,,,,
2023-08-03,1995.800048828125,24555.80078125,1.8940989560313088,178.6476063137825,1817.1524425143425,,0.2111183745483693,,,,,,,,,,,,,,,
2023-08-04,2062.14990234375,23864.0,2.94815355867143,280.5925732116548,1781.5573291320952,,0.3860801330145097,,,,,,,,,,,,,,,
2023-08-07,2051.39990234375,23964.75,2.723851052128451,261.11441713683735,1790.2854852069129,,0.3462330709744101,,,,,,,,,,,,,,,
2023-08-08,2040.3499755859373,23774.349609375,2.674689101658494,258.40043335100154,1781.949542234936,,0.3651300771789687,,,,,,,,,,,,,,,
2023-08-09,2073.85009765625,23749.099609375,2.9790962949729187,290.451202277143,1783.398895379107,,0.3259577163937716,,,,,,,,,,,,,,,
2023-08-10,2030.449951171875,23887.75,2.4110237048598613,236.3995850314145,1794.0503661404605,,0.2237967316786323,,,,,,,,,,,,,,,
2023-08-11,1995.25,23732.80078125,2.1144119135719617,208.32798555911768,1786.9220144408823,,0.186925768188297,,,,,,,,,,,,,,,
