Dates,DRREDDY.NS Y,LUPIN.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of LUPIN.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-06-16,4915.0498046875,830.4500122070312,1.5712307173565798,347.1214209705085,4567.928383716991,,0.0039689634209514,,,,,,,,,,,,,,,
2023-06-19,4879.0,825.1500244140625,1.445948086837875,319.88852484761355,4559.111475152386,,0.0032203822565209,,,,,,,,,,,,,,,
2023-06-20,4901.2001953125,829.9000244140625,1.507630765394462,334.0499477324556,4567.150247580044,,0.0033109016308451,,,,,,,,,,,,,,,
2023-06-21,4910.39990234375,875.0499877929688,1.2096817016653567,268.1477645142877,4642.252137829462,,0.0099556168280317,,,,,,,,,,,,,,,
2023-06-22,4899.4501953125,852.3499755859375,1.3299768038012554,295.1288386892138,4604.321356623286,,0.0105477860291415,,,,,,,,,,,,,,,
2023-06-23,4993.89990234375,858.25,1.7109352264240336,380.1455141212937,4613.754388222456,,0.0135403437935567,,,,,,,,,,,,,,,
2023-06-26,5041.60009765625,874.0,1.809238233013592,402.4188588948882,4639.181238761362,,0.007811111564965,,,,,,,,,,,,,,,
2023-06-27,5025.60009765625,881.7000122070312,1.6829089393181582,374.508887918244,4651.091209738006,,0.0074660192694721,,,,,,,,,,,,,,,
2023-06-28,5107.85009765625,889.5999755859375,2.0022305163932894,445.2482340226634,4662.601863633587,1.0,0.0050812891209844,,,,,,,,,,,,,,,
2023-06-30,5159.60009765625,902.75,2.146205398641704,477.1834753163839,4682.416622339866,,0.005482964361013,,,,,,,,,,,,,,,
2023-07-03,5098.2998046875,892.2999877929688,1.9524884605961128,434.0450846224139,4664.254720065086,,0.0102752482886378,,,,,,,,,,,,,,,
2023-07-04,5188.39990234375,891.4000244140625,2.367513605090549,526.7883674073646,4661.611534936385,,0.0142325552575305,,,,,,,,,,,,,,,
2023-07-05,5178.35009765625,897.2999877929688,2.286712223828772,508.8814145538309,4669.468683102419,,0.0174258679357369,,,,,,,,,,,,,,,
2023-07-06,5231.7998046875,905.2999877929688,2.468076729390278,550.6117710251528,4681.188033662347,,0.0205306728996544,,,,,,,,,,,,,,,
2023-07-07,5182.5,900.5999755859375,2.279419483171536,509.5486184528527,4672.951381547147,,0.0227007592300202,,,,,,,,,,,,,,,
2023-07-10,5154.9501953125,900.8499755859376,2.15831806273433,482.88181235033153,4672.0683829621685,,0.0245330372274968,,,,,,,,,,,,,,,
2023-07-11,5165.85009765625,914.2000122070312,2.1157839608706426,474.1696973955213,4691.680400260729,,0.0221926514014397,,,,,,,,,,,,,,,
2023-07-12,5189.0,940.5,2.038497041700712,457.69455776416544,4731.305442235835,,0.0221245763135137,,,,,,,,,,,,,,,
2023-07-13,5142.4501953125,930.75,1.897982811150388,426.8505127768613,4715.599682535639,,0.0192612580548904,,,,,,,,,,,,,,,
2023-07-14,5092.0498046875,930.9500122070312,1.6761126098273038,377.2600779155937,4714.789726771906,,0.0188782862680915,,,,,,,,,,,,,,,
2023-07-17,5229.75,934.4000244140624,2.260526231031068,510.34823539910576,4719.401764600894,,0.0313847377858467,,,,,,,,,,,,,,,
2023-07-18,5191.0,933.9500122070312,2.0865000779127127,472.4710564631487,4718.528943536851,,0.0232809955577605,,,,,,,,,,,,,,,
2023-07-19,5221.35009765625,932.75,2.22305893695654,505.0246908697609,4716.325406786489,,0.0286368948192455,,,,,,,,,,,,,,,
2023-07-20,5339.2998046875,946.0999755859376,2.643421945138676,603.2775728993865,4736.0222317881135,,0.1139217364148771,,,,,,,,,,,,,,,
2023-07-21,5288.2001953125,936.7000122070312,2.472574431221781,566.6145010851387,4721.585694227361,,0.1005502904176827,,,,,,,,,,,,,,,
2023-07-24,5391.7001953125,936.7999877929688,2.8792802295604694,665.1815522644674,4726.518643048033,,0.1593663322592724,,,,,,,,,,,,,,,
2023-07-25,5425.39990234375,937.5999755859376,2.970811241267068,691.7435243946438,4733.656377949106,,0.1748769278386809,,,,,,,,,,,,,,,
2023-07-26,5475.64990234375,941.4000244140624,3.1074429026370423,729.5449180277983,4746.104984315952,,0.1920238614914309,,,,,,,,,,,,,,,
2023-07-27,5507.0,979.7000122070312,2.932633599408222,692.805312203338,4814.194687796662,,0.1564790513834377,,,,,,,,,,,,,,,
2023-07-28,5583.0,974.0,3.224024847612513,768.2495653044971,4814.750434695503,,0.2433535351213299,,,,,,,,,,,,,,,
2023-07-31,5640.4501953125,985.4500122070312,3.312031141966908,795.892454793925,4844.557740518575,,0.2725406797723767,,,,,,,,,,,,,,,
2023-08-01,5667.0498046875,988.2000122070312,3.3257118872143483,806.4008067488485,4860.648997938652,,0.2749157909191059,,,,,,,,,,,,,,,
2023-08-02,5660.4501953125,994.5999755859376,3.1796080766695933,777.1790967190382,4883.271098593462,,0.2700864482671764,,,,,,,,,,,,,,,
2023-08-03,5659.5,1035.3499755859375,2.81288672668294,690.469780339331,4969.030219660669,,0.1716881684111472,,,,,,,,,,,,,,,
2023-08-04,5649.5498046875,1064.0,2.4947651116741363,614.4237893799109,5035.126015307589,,0.1561673079370383,,,,,,,,,,,,,,,
2023-08-07,5630.7001953125,1081.1500244140625,2.223363813065581,548.6604598372614,5082.039735475239,,0.1518918995801749,,,,,,,,,,,,,,,
2023-08-08,5657.9501953125,1083.699951171875,2.252706544012256,558.0097320753594,5099.940463237141,,0.1427550529487301,,,,,,,,,,,,,,,
2023-08-09,5871.0,1099.449951171875,2.908996395391392,726.0067951796809,5144.993204820319,,0.2648560824646327,,,,,,,,,,,,,,,
2023-08-10,5851.14990234375,1085.3499755859375,2.8601124143126926,719.6013922555121,5131.548510088238,,0.2500534664977758,,,,,,,,,,,,,,,
2023-08-11,5823.0,1076.9000244140625,2.744258964715902,695.4961235589126,5127.503876441087,,0.2269807399895929,,,,,,,,,,,,,,,
2023-08-14,5823.35009765625,1082.0,2.6379626434958627,672.7254468002011,5150.624650856049,,0.2026382913118684,,,,,,,,,,,,,,,
2023-08-16,5857.85009765625,1112.8499755859375,2.456622303586637,628.9726356242973,5228.877462031953,,0.1642395803130579,,,,,,,,,,,,,,,
2023-08-17,5880.64990234375,1092.0999755859375,2.6465342568277705,682.3811054092585,5198.268796934492,,0.22263325182058,,,,,,,,,,,,,,,
2023-08-18,5874.4501953125,1067.5999755859375,2.758612717354911,716.4938133454416,5157.956381967058,,0.2259684434787026,,,,,,,,,,,,,,,
2023-08-21,5910.85009765625,1086.3499755859375,2.6756347006575827,698.6710920017786,5212.179005654471,,0.1958978695992981,,,,,,,,,,,,,,,
2023-08-22,5925.5498046875,1091.0999755859375,2.62533619484661,689.1274805507137,5236.422324136786,,0.2271087816487414,,,,,,,,,,,,,,,
2023-08-23,5953.35009765625,1094.0999755859375,2.6383422989173724,695.9453094742539,5257.404788181996,,0.2501514089653661,,,,,,,,,,,,,,,
2023-08-24,5907.14990234375,1089.5,2.444127938153808,647.9806865127666,5259.169215830983,,0.2138829595322819,,,,,,,,,,,,,,,
2023-08-25,5779.25,1077.5999755859375,2.021974723465409,538.0670990669023,5241.182900933098,,0.1576676909396037,,,,,,,,,,,,,,,
