Dates,DRREDDY.NS Y,AUROPHARMA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of AUROPHARMA.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-06-12,4675.64990234375,663.7000122070312,0.3460968618896249,84.69695477511686,4590.952947568633,,0.0466113930814508,,,,,,,,,,,,,,,
2023-06-13,4702.0,681.5999755859375,0.3326667334767625,81.31596831578463,4620.684031684215,,0.0424468075959193,,,,,,,,,,,,,,,
2023-06-14,4699.0,669.75,0.4056022652358672,99.10802790642448,4599.891972093576,,0.0425079304886294,,,,,,,,,,,,,,,
2023-06-15,4803.4501953125,685.4000244140625,0.726387117085455,177.43900898958054,4626.01118632292,,0.0456256958285635,,,,,,,,,,,,,,,
2023-06-16,4915.0498046875,682.5999755859375,1.2024972456930347,293.9762991369407,4621.073505550559,,0.0515728576189531,,,,,,,,,,,,,,,
2023-06-19,4879.0,678.0499877929688,1.0877662710776148,266.01047977277085,4612.989520227229,,0.0422993532142093,,,,,,,,,,,,,,,
2023-06-20,4901.2001953125,680.9500122070312,1.1597960408631347,283.7273249307,4617.4728703818,,0.0414528434554558,,,,,,,,,,,,,,,
2023-06-21,4910.39990234375,682.0,1.1909546135746687,291.50204885424864,4618.897853489501,,0.0407824600778804,,,,,,,,,,,,,,,
2023-06-22,4899.4501953125,671.6500244140625,1.2175435037956714,298.1795947820683,4601.270600530432,,0.0280581389963335,,,,,,,,,,,,,,,
2023-06-23,4993.89990234375,699.1500244140625,1.4199007057922977,347.7796053962429,4646.120296947507,,0.0365918161431293,,,,,,,,,,,,,,,
2023-06-26,5041.60009765625,721.3499755859375,1.469916868003601,359.9801320984752,4681.619965557775,,0.0404772773412422,,,,,,,,,,,,,,,
2023-06-27,5025.60009765625,718.2000122070312,1.4302019122938934,350.2886053969878,4675.311492259262,,0.0347262985220506,,,,,,,,,,,,,,,
2023-06-28,5107.85009765625,738.75,1.6406454907244103,401.2248110783139,4706.625286577936,,0.0331017645347375,,,,,,,,,,,,,,,
2023-06-30,5159.60009765625,727.3499755859375,1.934365540715288,473.2219965858794,4686.378101070371,,0.0533266448321675,,,,,,,,,,,,,,,
2023-07-03,5098.2998046875,712.4000244140625,1.787004173647209,437.3944543602438,4660.905350327256,,0.0434442916422514,,,,,,,,,,,,,,,
2023-07-04,5188.39990234375,712.6500244140625,2.157143757988676,528.5960661431182,4659.803836200632,1.0,0.0533332684097633,,,,,,,,,,,,,,,
2023-07-05,5178.35009765625,731.5999755859375,2.0050744521456862,491.00773066776674,4687.342366988483,,0.0581153073077791,,,,,,,,,,,,,,,
2023-07-06,5231.7998046875,761.2999877929688,2.0409979976809987,499.9665681516208,4731.833236535879,,0.0731823073829478,,,,,,,,,,,,,,,
2023-07-07,5182.5,745.5999755859375,1.943342478545028,476.43289482048567,4706.067105179514,,0.0620834997066395,,,,,,,,,,,,,,,
2023-07-10,5154.9501953125,735.5,1.9025581226224264,466.3044989944792,4688.645696318021,,0.0646547599662338,,,,,,,,,,,,,,,
2023-07-11,5165.85009765625,736.4000244140625,1.9458498884177853,477.32742123902153,4688.5226764172285,,0.0593596485226131,,,,,,,,,,,,,,,
2023-07-12,5189.0,735.0499877929688,2.048333472459517,503.4791482396049,4685.520851760395,,0.0827549590854141,,,,,,,,,,,,,,,
2023-07-13,5142.4501953125,724.4000244140625,1.9255060159875896,473.9934003210356,4668.456794991464,,0.0645468895250298,,,,,,,,,,,,,,,
2023-07-14,5092.0498046875,738.9500122070312,1.640016665519444,403.76061043349273,4688.289194254007,,0.0448044670890437,,,,,,,,,,,,,,,
2023-07-17,5229.75,736.8499755859375,2.211791026330952,545.7635565496221,4683.986443450378,,0.0771494477754507,,,,,,,,,,,,,,,
2023-07-18,5191.0,753.0999755859375,1.9591021261966728,484.2234034658832,4706.776596534117,,0.1428047272829647,,,,,,,,,,,,,,,
2023-07-19,5221.35009765625,751.0999755859375,2.093170978603851,518.5307421990974,4702.819355457153,,0.1900543163357513,,,,,,,,,,,,,,,
2023-07-20,5339.2998046875,772.5999755859375,2.442222878766516,606.5631256192655,4732.7366790682345,,0.2505550830601817,,,,,,,,,,,,,,,
2023-07-21,5288.2001953125,779.5499877929688,2.197974739183919,546.8289362689766,4741.371259043523,,0.1999103146635541,,,,,,,,,,,,,,,
2023-07-24,5391.7001953125,785.2999877929688,2.541548743350075,636.3000697268744,4755.400125585626,,0.275256007157786,,,,,,,,,,,,,,,
2023-07-25,5425.39990234375,787.75,2.6144069209656795,658.5756099355795,4766.824292408171,,0.2870591716351567,,,,,,,,,,,,,,,
2023-07-26,5475.64990234375,789.4500122070312,2.750086022255304,697.2372266336879,4778.412675710062,,0.3659665338582246,,,,,,,,,,,,,,,
2023-07-27,5507.0,835.5499877929688,2.5430718317616527,647.1863960632854,4859.813603936715,,0.3166303330014011,,,,,,,,,,,,,,,
2023-07-28,5583.0,837.0,2.7640545976503508,707.949654229631,4875.050345770369,,0.3986660574125051,,,,,,,,,,,,,,,
2023-07-31,5640.4501953125,822.25,3.005438014044797,776.412824082734,4864.037371229766,,0.4869637888054717,,,,,,,,,,,,,,,
2023-08-01,5667.0498046875,818.5,3.059184834407569,797.3351571975863,4869.714647489914,,0.5083835968450879,,,,,,,,,,,,,,,
2023-08-02,5660.4501953125,816.2000122070312,2.9790751789062924,782.9142580502312,4877.535937262269,,0.5038140394377032,,,,,,,,,,,,,,,
2023-08-03,5659.5,840.3499755859375,2.750181611969808,726.9939062504836,4932.506093749516,,0.4449212963646675,,,,,,,,,,,,,,,
2023-08-04,5649.5498046875,841.5499877929688,2.641665186359528,702.850762901664,4946.699041785836,,0.4421109115658829,,,,,,,,,,,,,,,
2023-08-07,5630.7001953125,868.25,2.328386053678297,621.5970136337173,5009.103181678783,,0.3678304362661605,,,,,,,,,,,,,,,
2023-08-08,5657.9501953125,867.7999877929688,2.3715360066426188,636.2538406396543,5021.696354672846,,0.4201584692771999,,,,,,,,,,,,,,,
2023-08-09,5871.0,879.25,2.9982891810865056,810.830676924159,5060.169323075841,,0.6124496992313759,,,,,,,,,,,,,,,
2023-08-10,5851.14990234375,873.75,2.88760697545365,787.5472995163091,5063.602602827441,,0.578381643044065,,,,,,,,,,,,,,,
