Dates,ICICIGI.NS Y,BAJFINANCE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of BAJFINANCE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-03-17,1269.4000244140625,6994.39990234375,-2.3177717374418565,-215.46000143376568,1484.8600258478282,,,,,,,,,,,,,874299.9877929688,1078990.0207519531,1.0,2.0
2022-03-21,1240.550048828125,6870.39990234375,-2.553416234555542,-236.8995567329512,1477.4496055610762,,,,,,,,,,,,,,,,
2022-03-22,1250.4000244140625,6985.7998046875,-2.5307763663822964,-231.4122726364874,1481.81229705055,,,,,,,,,,,,,,,,
2022-03-23,1252.5,7004.7998046875,-2.5376979666052004,-228.8508273798243,1481.3508273798243,,,,,,,,,,,,,,,,
2022-03-24,1244.1500244140625,6997.5498046875,-2.62007623630653,-235.5985973917136,1479.748621805776,,,,,,,,,,,,,,,,
2022-03-25,1265.550048828125,6973.5,-2.3545235617636644,-212.05379902775485,1477.6038478558798,,,,,,,,,,,,,,,,
2022-03-28,1265.75,7001.39990234375,-2.3589368787852742,-212.05844688856791,1477.808446888568,,Individual Breakup,,Lot ICICIGI.NS Y,Lot  BAJFINANCE.NS X,Total Profit,Total Trade,,,,,,,,,
2022-03-29,1275.8499755859375,7039.35009765625,-2.256352326843593,-202.5626737421162,1478.4126493280537,,Margin of BAJFINANCE.NS X,Margin of ICICIGI.NS Y,425,125,0.0,0,,,,,,,,,
2022-03-30,1329.9000244140625,7251.85009765625,-1.7536047473694394,-157.28098301809246,1487.181007432155,,16.48,13.28,,,,,,,,,,,,,
2022-03-31,1328.300048828125,7259.9501953125,-1.7635753732948618,-158.21691612900304,1486.516964957128,,,,,,,,,,,,,,,,
2022-04-01,1348.5999755859375,7408.10009765625,-1.6038996208581655,-143.41348805816892,1492.0134636441064,,,,,,,,,,,,,,,,
2022-04-04,1349.949951171875,7490.64990234375,-1.6168703850041215,-144.7289181130136,1494.6788692848886,,,,,,,,,,,,,,,,
2022-04-05,1351.8499755859375,7388.4501953125,-1.5335925964220256,-137.3904223687623,1489.2403979546998,,,,,,,,,,,,,,,,
2022-04-06,1367.4000244140625,7346.9501953125,-1.3307631190616322,-119.26422887066884,1486.664253284731,,,,,,,,,,,,,,,,
2022-04-07,1396.6500244140625,7290.2001953125,-0.970533751231515,-86.91146262111988,1483.5614870351824,,,,,,,,,,,,,,,,
2022-04-08,1380.199951171875,7366.60009765625,-1.1827598853253931,-105.8921324824737,1486.0920836543487,,,,,,,,,,,,,,,,
2022-04-11,1356.0,7336.64990234375,-1.4285109481988931,-127.97236465657328,1483.9723646565733,,,,,,,,,,,,,,,,
2022-04-12,1352.5999755859375,7274.5,-1.426910048887289,-128.0213246605067,1480.6213002464442,,,,,,,,,,,,,,,,
2022-04-13,1358.6500244140625,7328.4501953125,-1.3750535188401576,-123.49375184955534,1482.1437762636178,,,,,,,,,,,,,,,,
2022-04-18,1357.300048828125,7261.4501953125,-1.3496508483599232,-121.27915261227211,1478.5792014403971,,,,,,,,,,,,,,,,
2022-04-19,1342.4000244140625,7259.5498046875,-1.504503816312474,-135.2264666754054,1477.626491089468,,,,,,,,,,,,,,,,
2022-04-20,1363.0999755859375,7032.5,-1.1640515069534274,-104.7171669031411,1467.8171424890786,,,,,,,,,,,,,,,,
