Dates,HINDCOPPER.NS Y,COALINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COALINDIA.NS X,Effective Margin of HINDCOPPER.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HINDCOPPER.NS X,Effective Investment of HINDCOPPER.NS Y,Multiplier X,Multiplier Y
2023-05-29,108.9000015258789,246.1000061035156,0.45364434218514,6.191418130930771,102.70858339494814,,0.0021667120993177,,,,,,,,,,,,,,,
2023-05-30,111.0999984741211,244.3000030517578,0.5758387025885143,7.817806848858837,103.28219162526226,,0.0030574502586565,,,,,,,,,,,,,,,
2023-05-31,113.25,241.25,0.674100046853055,9.09368388169088,104.15631611830912,,0.0022862734855817,,,,,,,,,,,,,,,
2023-06-01,111.5999984741211,230.3500061035156,0.3493150236692173,4.689108007127373,106.91089046699372,,0.0017906075695654,,,,,,,,,,,,,,,
2023-06-02,113.8000030517578,230.8999938964844,0.5228181395986998,6.972572890953529,106.82743016080428,,0.0003756331258723,,,,,,,,,,,,,,,
2023-06-05,114.3499984741211,229.6999969482422,0.5421002959410816,7.181160691211886,107.1688377829092,,0.0005777692387924,,,,,,,,,,,,,,,
2023-06-06,113.6500015258789,227.8000030517578,0.4585332540203371,6.000991633834005,107.6490098920449,,0.000995019211162,,,,,,,,,,,,,,,
2023-06-07,115.1500015258789,230.6999969482422,0.6287046067308119,8.138413110235717,107.0115884156432,,0.0019843182518015,,,,,,,,,,,,,,,
2023-06-08,113.4499969482422,228.1000061035156,0.4513225660389273,5.792127278953998,107.6578696692882,,0.0030351001708403,,,,,,,,,,,,,,,
2023-06-09,112.75,227.6499938964844,0.3885699585595032,4.954679563997075,107.79532043600292,,0.0068112186211462,,,,,,,,,,,,,,,
2023-06-12,113.4000015258789,229.0,0.4624022679695916,5.868708560489949,107.53129296538896,,0.0041405763685038,,,,,,,,,,,,,,,
2023-06-13,113.3499984741211,228.9499969482422,0.4549052913084798,5.763063663625275,107.58693481049582,,0.0030955760295512,,,,,,,,,,,,,,,
2023-06-14,115.4000015258789,228.9499969482422,0.6141129480071136,7.756039227523033,107.64396229835587,,0.0031908630253234,,,,,,,,,,,,,,,
2023-06-15,114.25,228.6000061035156,0.5150679988985567,6.476399557591975,107.77360044240802,,0.0041328415919601,,,,,,,,,,,,,,,
2023-06-16,115.1999969482422,228.5500030517578,0.5878878515450106,7.359486082134708,107.84051086610748,,0.0022704542198643,,,,,,,,,,,,,,,
2023-06-19,114.5,227.1499938964844,0.5056699734565194,6.309457890888993,108.190542109111,,0.0038986685979164,,,,,,,,,,,,,,,
2023-06-20,117.0999984741211,227.25,0.7147093618274295,8.8719464095214,108.2280520645997,,0.0048432227226856,,,,,,,,,,,,,,,
2023-06-21,115.8000030517578,228.4499969482422,0.6279088308872672,7.769391449367504,108.03061160239032,,0.0051214447024634,,,,,,,,,,,,,,,
2023-06-22,115.25,226.9499969482422,0.5556874311748016,6.858799998300441,108.39120000169956,,0.0053670191388664,,,,,,,,,,,,,,,
2023-06-23,114.0500030517578,225.8999938964844,0.4390203167991491,5.406806648751484,108.64319640300631,,0.0056543809049518,,,,,,,,,,,,,,,
2023-06-26,115.9499969482422,224.3000030517578,0.564755024780248,6.943157371831916,109.00683957641029,,0.0033990046184886,,,,,,,,,,,,,,,
2023-06-27,115.3000030517578,225.1499938964844,0.523795885880487,6.429476188678734,108.87052686307908,,0.0041689914968872,,,,,,,,,,,,,,,
2023-06-28,115.8499984741211,227.25,0.601131291612343,7.352167734142256,108.49783073997884,,0.0030961590960147,,,,,,,,,,,,,,,
2023-06-30,116.0500030517578,231.0,0.6747205854092331,8.228997636892558,107.82100541486524,,0.0038678842092853,,,,,,,,,,,,,,,
2023-07-03,118.3499984741211,231.6499938964844,0.8701006787899785,10.576728214091672,107.77327026002942,,0.003900981118447,,,,,,,,,,,,,,,
