Dates,IOC.NS Y,HINDPETRO.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HINDPETRO.NS X,Effective Margin of IOC.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IOC.NS X,Effective Investment of IOC.NS Y,Multiplier X,Multiplier Y
2023-06-30,91.3000030517578,273.8500061035156,2.239521730060945,11.717666648518332,79.58233640323948,,0.3777344952923445,,,,,,,,,,,,,,,
2023-07-03,95.25,283.5,2.754530956323725,14.44942023482828,80.80057976517172,,0.6686747584952751,,,,,,,,,,,,,,,
2023-07-04,94.6500015258789,279.1000061035156,2.7144655268086044,14.305457778346437,80.34454374753247,,0.676940311014068,,,,,,,,,,,,,,,
2023-07-05,95.5,290.79998779296875,2.5866562073566257,13.679552292911112,81.82044770708889,,0.669178736654726,,,,,,,,,,,,,,,
2023-07-06,98.5999984741211,301.95001220703125,2.8833598575722856,15.331818665811385,83.26817980830971,,0.7712862208563536,,,,,,,,,,,,,,,
2023-07-07,99.1999969482422,305.95001220703125,2.865966116096321,15.33045379203466,83.86954315620753,,0.767362904022564,,,,,,,,,,,,,,,
2023-07-10,97.4000015258789,298.0,2.680693166768693,14.421277660546508,82.9787238653324,,0.7133456183545805,,,,,,,,,,,,,,,
2023-07-11,98.0999984741211,295.1499938964844,2.84329941126892,15.38968564089572,82.71031283322537,,0.7588908408847757,,,,,,,,,,,,,,,
2023-07-12,97.9000015258789,291.3999938964844,2.8609368469038685,15.57966360040247,82.32033792547644,,0.7519943897464656,,,,,,,,,,,,,,,
2023-07-13,96.1999969482422,286.79998779296875,2.630783122577916,14.389695750753162,81.81030119748903,,0.6531734201811863,,,,,,,,,,,,,,,
2023-07-14,96.5999984741211,287.3999938964844,2.665538056520546,14.635586021578176,81.96441245254292,,0.696756794710168,,,,,,,,,,,,,,,
2023-07-17,97.3499984741211,294.3500061035156,2.6140668491082213,14.405204749186396,82.9447937249347,,0.6600448566595863,,,,,,,,,,,,,,,
2023-07-18,97.5999984741211,290.3999938964844,2.7246841399991526,15.081622101702322,82.51837637241877,,0.683666387849257,,,,,,,,,,,,,,,
2023-07-19,98.25,297.8999938964844,2.639442390967922,14.65358913037673,83.59641086962327,,0.6618131390125215,,,,,,,,,,,,,,,
2023-07-20,98.75,300.3999938964844,2.643146508861256,14.723427835131332,84.02657216486867,,0.6913946340113146,,,,,,,,,,,,,,,
2023-07-21,99.3499984741211,301.54998779296875,2.6943296119655,15.070451342509074,84.27954713161202,,0.715974434811082,,,,,,,,,,,,,,,
2023-07-24,99.8499984741211,300.95001220703125,2.767257348539725,15.551623548544342,84.29837492557675,,0.7369431569744018,,,,,,,,,,,,,,,
2023-07-25,99.0,300.29998779296875,2.605594183219592,14.697514613887703,84.3024853861123,,0.6868743320481928,,,,,,,,,,,,,,,
2023-07-26,99.5999984741211,301.70001220703125,2.649405443882908,15.001145837128874,84.59885263699222,,0.7108022295712116,,,,,,,,,,,,,,,
2023-07-27,98.5999984741211,290.70001220703125,2.712144880025975,15.433451021864684,83.16654745225641,,0.7257129615328539,,,,,,,,,,,,,,,
2023-07-28,95.25,279.3999938964844,2.381655380162678,13.59203091472017,81.65796908527983,,0.6194843181342179,,,,,,,,,,,,,,,
2023-07-31,93.75,282.3999938964844,2.034061244527942,11.617269165392798,82.1327308346072,,0.5626652320101105,,,,,,,,,,,,,,,
2023-08-01,94.0,285.04998779296875,2.000330938242514,11.440702333844513,82.55929766615549,,0.5283940414219289,,,,,,,,,,,,,,,
2023-08-02,93.8499984741211,276.29998779296875,2.175601552412514,12.470666917577574,81.37933155654352,,0.5430823266963246,,,,,,,,,,,,,,,
2023-08-03,93.5,270.3500061035156,2.248239628419899,12.910233991198368,80.58976600880163,,0.6325645198810121,,,,,,,,,,,,,,,
2023-08-04,92.3000030517578,266.70001220703125,2.1170534389589624,12.181426254500082,80.11857679725773,,0.598810352803101,,,,,,,,,,,,,,,
2023-08-07,92.8499984741211,267.79998779296875,2.172958090200957,12.531564231073505,80.31843424304759,,0.631650575528634,,,,,,,,,,,,,,,
2023-08-08,92.3499984741211,265.04998779296875,2.1411049424873294,12.377193961664132,79.97280451245696,,0.6696690554839758,,,,,,,,,,,,,,,
2023-08-09,93.9000015258789,266.3999938964844,2.3592474079148773,13.692819301353808,80.2071822245251,,0.7206271572613009,,,,,,,,,,,,,,,
2023-08-10,93.8499984741211,264.8999938964844,2.3703651755029997,13.81069191394326,80.03930656017783,,0.7351574361507515,,,,,,,,,,,,,,,
2023-08-11,93.5,266.6499938964844,2.2527850010756376,13.17058500369768,80.32941499630232,,0.6787512893021641,,,,,,,,,,,,,,,
2023-08-14,92.5999984741211,263.3999938964844,2.164439981253329,12.687339715939828,79.91265875818127,,0.6499699627017822,,,,,,,,,,,,,,,
2023-08-16,93.3000030517578,261.6499938964844,2.310876242084756,13.589260271627865,79.71074278012995,,0.7359281969782452,,,,,,,,,,,,,,,
2023-08-17,92.25,261.75,2.116764370507282,12.484674936064408,79.76532506393559,,0.6530163662861215,,,,,,,,,,,,,,,
2023-08-18,91.4000015258789,261.1499938964844,1.976291768309017,11.678180430754608,79.7218210951243,,0.6123895953664648,,,,,,,,,,,,,,,
2023-08-21,92.0,260.5,2.0813143136108336,12.327225544983662,79.67277445501634,,0.6460507161551492,,,,,,,,,,,,,,,
2023-08-22,91.8499984741211,260.20001220703125,2.051457791782242,12.17728720382712,79.67271127029397,,0.6556426790025349,,,,,,,,,,,,,,,
2023-08-23,91.3000030517578,260.0,1.952811226556136,11.615391221249666,79.68461183050815,,0.6701440494712896,,,,,,,,,,,,,,,
2023-08-24,92.25,264.8500061035156,1.9859645624505595,11.844858106204684,80.40514189379532,,0.6788445061828877,,,,,,,,,,,,,,,
2023-08-25,91.8000030517578,261.5,1.9779143826874976,11.828527432368915,79.9714756193889,,0.6677808586127487,,,,,,,,,,,,,,,
2023-08-28,91.9000015258789,264.3500061035156,1.9167303763407253,11.48836929728138,80.41163222859753,,0.6708717425772008,,,,,,,,,,,,,,,
2023-08-29,91.9000015258789,263.8999938964844,1.916228591757132,11.514181307443693,80.38582021843521,,0.6684333438631962,,,,,,,,,,,,,,,
2023-08-30,90.75,257.70001220703125,1.8603607724283104,11.203294768508414,79.54670523149159,,0.6689253594886936,,,,,,,,,,,,,,,
2023-08-31,89.0999984741211,248.1000061035156,1.801696232125357,10.872307867631465,78.22769060648963,,0.6587862289756703,,,,,,,,,,,,,,,
2023-09-01,89.05000305175781,250.25,1.7337856693843985,10.483802000798876,78.56620105095894,,0.6501834158750504,,,,,,,,,,,,,,,
2023-09-04,90.05000305175781,253.0500030517578,1.8235524959513345,11.053745663518455,78.99625738823936,,0.6849552993534871,,,,,,,,,,,,,,,
