Dates,IGL.NS Y,MGL.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of MGL.NS X,Effective Margin of IGL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IGL.NS X,Effective Investment of IGL.NS Y,Multiplier X,Multiplier Y
2022-03-21,374.2000122070313,763.2000122070312,-0.2302985075408481,-7.631902931608181,381.8319151386394,,,,,,,,,,,,,,,,
2022-03-22,370.8999938964844,753.0499877929688,-0.2294051969429034,-7.580832292064429,378.4808261885488,,,,,,,,,,,,,,,,
2022-03-23,373.8500061035156,771.2999877929688,-0.3592144472435661,-11.857932786024833,385.70793888954046,,,,,,,,,,,,,,,,
2022-03-24,377.3999938964844,769.8499755859375,-0.2422162019641185,-7.988152078744292,385.3881459752287,,,,,,,,,,,,,,,,
2022-03-25,367.7999877929688,756.5999755859375,-0.3906678484146239,-12.841223119332652,380.6412109123014,,,,,,,,,,,,,,,,
2022-03-28,365.7999877929688,760.75,-0.5053218675968403,-16.584874144811465,382.3848619377802,,Individual Breakup,,Lot IGL.NS Y,Lot  MGL.NS X,Total Profit,Total Trade,,,,,,,,,
2022-03-29,369.2000122070313,778.2999877929688,-0.605213433056133,-19.860139005973902,389.0601512130052,,Margin of MGL.NS X,Margin of IGL.NS Y,1375,800,0,0,,,,,,,,,
2022-03-30,373.25,782.7999877929688,-0.5323649389382152,-17.472480224547212,390.7224802245472,,16.14,16.43,,,,,,,,,,,,,
2022-03-31,373.1499938964844,779.0499877929688,-0.4912764131954963,-16.12417497208901,389.2741688685734,,,,,,,,,,,,,,,,
2022-04-01,380.3999938964844,795.75,-0.4576964551691058,-15.031546825173905,395.4315407216583,,,,,,,,,,,,,,,,
2022-04-04,391.9500122070313,826.0499877929688,-0.4471666520738172,-14.694872645658164,406.6448848526894,,,,,,,,,,,,,,,,
2022-04-05,389.2999877929688,828.6500244140625,-0.5536891068610278,-18.20176746005677,407.5017552530255,,,,,,,,,,,,,,,,
2022-04-06,382.25,820.7000122070312,-0.6701697107553678,-22.024785699445204,404.2747856994452,,,,,,,,,,,,,,,,
2022-04-07,383.5,819.7999877929688,-0.6173079095575302,-20.2942687128035,403.7942687128035,,,,,,,,,,,,,,,,
2022-04-08,383.2999877929688,828.7999877929688,-0.7219652147529706,-23.75170926119347,407.0516970541622,,,,,,,,,,,,,,,,
2022-04-11,385.9500122070313,832.5499877929688,-0.6791616516371074,-22.35069494707648,408.3007071541077,,,,,,,,,,,,,,,,
2022-04-12,377.4500122070313,816.2999877929688,-0.7450318186567281,-24.522844893679803,401.9728571007111,,,,,,,,,,,,,,,,
