Dates,TORNTPHARM.NS Y,ALKEM.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ALKEM.NS X,Effective Margin of TORNTPHARM.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of TORNTPHARM.NS X,Effective Investment of TORNTPHARM.NS Y,Multiplier X,Multiplier Y
2023-06-27,1879.050048828125,3395.449951171875,3.146991655576852,354.4828777663379,1524.5671710617871,,0.7642656809740591,,,,,,,,,,,,,,,
2023-06-28,1953.6500244140625,3446.14990234375,3.7336324076626366,426.5293589087478,1527.1206655053147,,0.8908720896044499,,,,,,,,,,,,,,,
2023-06-30,1904.949951171875,3512.85009765625,3.245586848692547,374.6199266562119,1530.3300245156631,,0.824759719443501,,,,,,,,,,,,,,,
2023-07-03,1890.9000244140625,3493.89990234375,3.0891388022331845,360.0544618556344,1530.845562558428,,0.7936798865691226,,,,,,,,,,,,,,,
2023-07-04,1877.75,3494.800048828125,2.94108438904708,345.7920153466607,1531.9579846533393,,0.7667219210078018,,,,,,,,,,,,,,,
2023-07-05,1886.0,3512.25,2.969939656167033,352.3244514133928,1533.6755485866072,,0.7813022044527033,,,,,,,,,,,,,,,
2023-07-06,1899.4000244140625,3523.25,3.0407091850023007,364.1386746914754,1535.261349722587,,0.8075212117721323,,,,,,,,,,,,,,,
2023-07-07,1902.25,3490.75,3.036747259328284,367.18633922284175,1535.0636607771582,,0.8171838020303496,,,,,,,,,,,,,,,
2023-07-10,1911.949951171875,3487.64990234375,3.0789485313130025,375.9366151861536,1536.0133359857214,,0.8343095998977728,,,,,,,,,,,,,,,
2023-07-11,1941.5999755859373,3514.050048828125,3.266701736211316,403.2018535222967,1538.3981220636408,,0.875556480462651,,,,,,,,,,,,,,,
2023-07-12,1930.0,3529.0,3.1256238290687133,389.6285161593637,1540.3714838406363,,0.8620927841196769,,,,,,,,,,,,,,,
2023-07-13,1930.3499755859373,3511.14990234375,3.0943141487058954,389.5197907807788,1540.8301848051588,,0.8669616325721168,,,,,,,,,,,,,,,
2023-07-14,1945.199951171875,3519.35009765625,3.166167947586273,402.61183066185686,1542.588120510018,,0.8883287951843464,,,,,,,,,,,,,,,
2023-07-17,1942.800048828125,3628.60009765625,3.06143226149443,392.750183382846,1550.049865445279,,0.8810638542718019,,,,,,,,,,,,,,,
2023-07-18,1928.5,3666.64990234375,2.8940341173530864,374.3556328244069,1554.144367175593,,0.8547365137522349,,,,,,,,,,,,,,,
2023-07-19,1924.550048828125,3639.449951171875,2.8377991563606155,370.2324250481343,1554.3176237799908,,0.8491129039484631,,,,,,,,,,,,,,,
2023-07-20,1930.3499755859373,3690.10009765625,2.8198225134512884,370.7015293438426,1559.648446242095,,0.8499110690886802,,,,,,,,,,,,,,,
2023-07-21,1938.75,3700.949951171875,2.838144066115344,376.1774682427417,1562.5725317572585,,0.8597018001375176,,,,,,,,,,,,,,,
2023-07-24,1941.0,3781.800048828125,2.7714192431531552,369.89673929475566,1571.1032607052443,,0.8543875896737961,,,,,,,,,,,,,,,
2023-07-25,1972.5,3950.64990234375,2.859222289871042,383.86587131509737,1588.6341286849026,,0.8742540103549974,,,,,,,,,,,,,,,
2023-07-26,1970.800048828125,4004.89990234375,2.753528596100612,372.2286999217422,1598.5713489063828,,0.8637078483035638,,,,,,,,,,,,,,,
2023-07-27,1992.0,4028.35009765625,2.8285372972489387,385.3938133226032,1606.6061866773969,,0.8802359793006425,,,,,,,,,,,,,,,
2023-07-28,1990.300048828125,3995.699951171875,2.7755969031092382,381.4588932968545,1608.8411555312705,,0.878767943055208,,,,,,,,,,,,,,,
2023-07-31,2002.8499755859373,3978.75,2.8175166536035605,390.5389313681597,1612.311044217778,,0.889815692407355,,,,,,,,,,,,,,,
2023-08-01,1983.5,3986.5,2.617675533469676,365.3698617448658,1618.1301382551342,,0.86082240035248,,,,,,,,,,,,,,,
2023-08-02,1965.800048828125,3935.5,2.4856716188922072,349.4591311978736,1616.3409176302514,,0.8237216824889805,,,,,,,,,,,,,,,
2023-08-03,1995.800048828125,4023.39990234375,2.570067544054315,363.2068799062004,1632.5931689219246,,0.8406596006603104,,,,,,,,,,,,,,,
2023-08-04,2062.14990234375,4099.0,2.89406015705904,411.58400346777216,1650.5658988759778,,0.9038995486492536,,,,,,,,,,,,,,,
2023-08-07,2051.39990234375,4131.85009765625,2.7126032735534946,388.1603566364458,1663.2395457073042,,0.8827908264091076,,,,,,,,,,,,,,,
2023-08-08,2040.3499755859373,4131.85009765625,2.566459811337128,369.5617168388103,1670.7882587471272,,0.8663906477038499,,,,,,,,,,,,,,,
2023-08-09,2073.85009765625,4227.25,2.61829973301249,378.6788012724872,1695.1712963837629,,0.877051044750097,,,,,,,,,,,,,,,
2023-08-10,2030.449951171875,4141.39990234375,2.3509506624858454,342.4321696385791,1688.017781533296,,0.8316101564844531,,,,,,,,,,,,,,,
2023-08-11,1995.25,3822.10009765625,2.43858050921229,358.99487393223944,1636.2551260677606,,0.8518423967500852,,,,,,,,,,,,,,,
2023-08-14,1971.9000244140625,3795.449951171875,2.2793653593358125,337.2411085665226,1634.65891584754,,0.8243608159339961,,,,,,,,,,,,,,,
2023-08-16,1986.300048828125,3794.699951171875,2.344297122208236,348.636932351229,1637.663116476896,,0.8352228396695389,,,,,,,,,,,,,,,
2023-08-17,1983.25,3789.64990234375,2.29747628416383,343.3280427913078,1639.9219572086922,,0.825437400509675,,,,,,,,,,,,,,,
2023-08-18,1980.5999755859373,3801.300048828125,2.2332608929680524,335.1857774894688,1645.414198096469,,0.8080140069039932,,,,,,,,,,,,,,,
2023-08-21,1975.75,3823.10009765625,2.140824405634042,322.49106548016334,1653.2589345198369,,0.7975236087989854,,,,,,,,,,,,,,,
2023-08-22,1976.5999755859373,3767.75,2.1900678504828184,331.4305922868876,1645.16938329905,,0.8129316600507835,,,,,,,,,,,,,,,
2023-08-23,1938.5,3760.199951171875,1.924169405870584,292.1064805859637,1646.3935194140363,,0.7806438741376589,,,,,,,,,,,,,,,
2023-08-24,1961.949951171875,3715.050048828125,2.1162023159953027,322.6730653126549,1639.27688585922,,0.8040940021047208,,,,,,,,,,,,,,,
2023-08-25,1937.800048828125,3677.75,1.9902510401466256,304.6988509516409,1633.101197876484,,0.8001721391825283,,,,,,,,,,,,,,,
2023-08-28,1958.1500244140625,3712.39990234375,2.0494041822219877,314.8336745912086,1643.316349822854,,0.7998479989535268,,,,,,,,,,,,,,,
2023-08-29,1958.800048828125,3702.199951171875,2.046358112247648,315.6650747087492,1643.1349741193758,,0.7969645015051661,,,,,,,,,,,,,,,
2023-08-30,1954.699951171875,3693.85009765625,2.010238666515471,311.24993344520453,1643.4500177266705,,0.7947506297806957,,,,,,,,,,,,,,,
2023-08-31,1842.5,3642.85009765625,1.3508090005739806,209.50053417497747,1632.9994658250223,,0.6469020181617211,,,,,,,,,,,,,,,
2023-09-01,1785.800048828125,3614.75,1.020214671454046,158.34795922941612,1627.4520895987089,,0.5533656031959495,,,,,,,,,,,,,,,
2023-09-04,1827.0,3650.64990234375,1.2198549611622496,189.46213474051683,1637.5378652594832,,0.5849505553747305,,,,,,,,,,,,,,,
2023-09-05,1873.5,3646.10009765625,1.5127927540937045,235.3813189988523,1638.1186810011477,,0.6234324043138334,,,,,,,,,,,,,,,
2023-09-06,1922.050048828125,3655.10009765625,1.7936273499961286,279.8309962581216,1642.2190525700034,,0.6712571174668611,,,,,,,,,,,,,,,
2023-09-07,1891.5,3637.10009765625,1.6115431495481596,251.9454194105815,1639.5545805894185,,0.6412341246459667,,,,,,,,,,,,,,,
2023-09-08,1872.75,3621.25,1.503564161518265,235.4331529422593,1637.3168470577407,,0.6036292983078263,,,,,,,,,,,,,,,
2023-09-11,1867.25,3630.0,1.441297669690426,225.959225419042,1641.290774580958,,0.5630460057832063,,,,,,,,,,,,,,,
2023-09-12,1857.5,3635.35009765625,1.358008561894395,213.08454733981284,1644.4154526601872,,0.5498526627443878,,,,,,,,,,,,,,,
