Dates,BEL.NS Y,HAL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HAL.NS X,Effective Margin of BEL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of BEL.NS X,Effective Investment of BEL.NS Y,Multiplier X,Multiplier Y
2023-07-05,121.75,1867.449951171875,-1.2568198178320216,-6.471603133395576,128.22160313339558,,0.1066056539048559,,,,,,,,,,,,,,,
2023-07-06,124.8000030517578,1865.5250244140625,-0.6338067895195055,-3.2628991607092246,128.06290221246704,,0.0896299538847766,,,,,,,,,,,,,,,
2023-07-07,124.0500030517578,1879.75,-0.8989365681658466,-4.628728536460613,128.67873158821843,,0.0956707738473419,,,,,,,,,,,,,,,
2023-07-10,123.0,1888.2249755859373,-1.1632968017966707,-5.996560935939584,128.99656093593958,,0.1071554984140135,,,,,,,,,,,,,,,
2023-07-11,127.4000015258789,1958.7249755859373,-0.960056084348882,-4.9473545416857405,132.34735606756465,,0.0967333432895602,,,,,,,,,,,,,,,
2023-07-12,127.6500015258789,1921.925048828125,-0.5523666978525752,-2.84854242048192,130.49854394636083,,0.0837431348098123,,,,,,,,,,,,,,,
2023-07-13,125.5,1927.0,-0.9985637755726412,-5.152456312651935,130.65245631265194,,0.1036382340590463,,,,,,,,,,,,,,,
2023-07-14,127.1500015258789,1918.3499755859373,-0.5857626283760383,-3.022985707845692,130.1729872337246,,0.091480512076931,,,,,,,,,,,,,,,
2023-07-17,127.1500015258789,1907.8499755859373,-0.4789457711260504,-2.472718990726406,129.6227205166053,,0.0875126078286436,,,,,,,,,,,,,,,
2023-07-18,127.0999984741211,1925.125,-0.6394642637842507,-3.3015268483501643,130.40152532247126,,0.0886605456528783,,,,,,,,,,,,,,,
2023-07-19,126.9000015258789,1930.449951171875,-0.7156241300386652,-3.695880537936091,130.595882063815,,0.0924444386322472,,,,,,,,,,,,,,,
2023-07-20,126.0,1918.4749755859373,-0.7642752099941236,-3.949111842507193,129.9491118425072,,0.0927368845548963,,,,,,,,,,,,,,,
2023-07-21,124.9499969482422,1927.2249755859373,-1.0321154738270653,-5.337498639348922,130.2874955875911,,0.108369740956171,,,,,,,,,,,,,,,
2023-07-24,126.0,1942.625,-0.9562470555192056,-4.9476295139731405,130.94762951397314,,0.1069034415169856,,,,,,,,,,,,,,,
2023-07-25,127.0500030517578,1918.175048828125,-0.5182735690569991,-2.6833288091291365,129.73333186088695,,0.0897052404877279,,,,,,,,,,,,,,,
2023-07-26,126.0,1929.300048828125,-0.8122721769279957,-4.207879189093376,130.20787918909338,,0.0965183549181588,,,,,,,,,,,,,,,
