Dates,PAGEIND.NS Y,ABFRL.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of ABFRL.NS X,Effective Margin of PAGEIND.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of PAGEIND.NS X,Effective Investment of PAGEIND.NS Y,Multiplier X,Multiplier Y
2022-03-31,43189.3515625,302.1000061035156,-0.1289370429751226,-281.3341555784209,43470.68571807842,,16.92,14.21,,,,,,,,,,,,,
2022-04-01,43147.5,300.0,-0.0164220066637643,-35.58156858734583,43183.08156858735,,,,,,,,,,,,,,,,
2022-04-04,43713.0,298.75,0.3238280878573387,696.0793381150725,43016.92066188493,,,,,,,,,,,,,,,,
2022-04-05,44332.8515625,309.54998779296875,-0.0547716574578748,-116.73117881220242,44449.5827413122,,,,,,,,,,,,,,,,
2022-04-06,44423.69921875,315.54998779296875,-0.3824999504979879,-809.4084179925558,45233.10763674256,,,,,,,,,,,,,,,,
2022-04-07,44108.80078125,311.1000061035156,-0.2469726911428036,-518.8143025584795,44627.61508380848,,,,,,,,,,,,,,,,
2022-04-08,44983.8984375,308.3999938964844,0.3429495166867472,715.6405188298522,44268.25791867015,,,,,,,,,,,,,,,,
2022-04-11,45689.44921875,306.1000061035156,0.8270851947508994,1718.7879777614726,43970.66124098853,,,,,,,,,,,,,,,,
2022-04-12,44635.6484375,296.25,0.948031389768037,1962.0016383331383,42673.64679916686,,,,,,,,,,,,,,,,
2022-04-13,44817.1015625,294.20001220703125,1.1652987497205722,2403.1018699390406,42413.99969256096,,,,,,,,,,,,,,,,
2022-04-18,45276.19921875,293.20001220703125,1.442947635759518,2977.714684243161,42298.48453450684,,,,,,,,,,,,,,,,
2022-04-19,45437.80078125,292.8500061035156,1.5322051699008865,3166.9332980343606,42270.86748321564,,,,,,,,,,,,,,,,
2022-04-20,45121.8515625,289.54998779296875,1.57935629295134,3270.418502540211,41851.43305995979,,,,,,,,,,,,,,,,
2022-04-21,45814.0,292.79998779296875,1.690339614267247,3508.644702289239,42305.35529771076,,,,,,,,,,,,,,,,
2022-04-22,45872.3984375,285.04998779296875,2.1896294489069623,4569.121488351928,41303.27694914807,1.0,,,,,,,,,,,,,,,
2022-04-25,44866.3515625,277.3999938964844,2.1728691082851,4557.480090184683,40308.87147231532,,,,,,,,,,,,,,,,
2022-04-26,46563.75,282.8500061035156,2.602511495983675,5495.1510915152685,41068.59890848473,,,,,,,,,,,,,,,,
2022-04-27,45781.75,281.79998779296875,2.2733877286507527,4825.732294943897,40956.0177050561,,,,,,,,,,,,,,,,
2022-04-28,45862.3515625,283.04998779296875,2.208771084858338,4711.610202087322,41150.74136041268,,,,,,,,,,,,,,,,
2022-04-29,45578.75,285.5,1.9034553707336,4074.870649822682,41503.87935017732,,,,,,,,,,,,,,,,
2022-05-02,45595.44921875,282.45001220703125,2.081733144898393,4476.411901091218,41119.03731765878,,,,,,,,,,,,,,,,
2022-05-04,45345.1015625,278.6000061035156,2.184009246170058,4719.372458402446,40625.729104097554,,,,,,,,,,,,,,,,
2022-05-05,45722.6015625,277.5,2.4004184108388933,5217.717703708913,40504.88385879109,,,,,,,,,,,,,,,,
2022-05-06,44911.5,270.3500061035156,2.443164616427819,5344.574509643076,39566.92549035692,,,,,,,,,,,,,,,,
2022-05-09,42619.94921875,262.6000061035156,1.859024685563268,4082.2210206737145,38537.728198076285,,,,,,,,,,,,,,,,
2022-05-10,40839.1484375,257.75,1.3387279635032951,2945.5318602153056,37893.61657728469,,,,,,,,,,,,,,,,
