Dates,IOC.NS Y,BPCL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BPCL.NS X,Effective Margin of IOC.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IOC.NS X,Effective Investment of IOC.NS Y,Multiplier X,Multiplier Y
2023-05-12,83.55000305175781,361.8999938964844,1.2389904304915862,6.913860985153377,76.63614206660444,,0.1978000439274039,1.0,722.6000061035156,7.2260000610351565,3.6660000610351564,3.56,183.0,-14.371713980948767,-103.85000610351562,-1437.171398094877,191.74996948242188,-295.5999755859375,366.6000061035156,356.0,1.0,4.0
2023-05-15,84.19999694824219,357.0,1.3701330518244228,7.643310418204649,76.55668653003754,,0.2373689077426591,2.0,1402.5999755859375,14.025999755859376,6.545999755859375,7.48,36.0,-0.2958808274846021,-4.1500244140625,-29.588082748460216,-66.79998779296875,62.64996337890625,654.5999755859375,748.0,1.0,4.0
2023-05-16,87.0,362.2999877929688,1.8418231499551048,10.293820458953576,76.70617954104642,,0.2618390414366356,,,,,6.935999755859375,,,,,,,634.6500244140625,693.5999755859375,1.0,4.0
2023-05-17,87.55000305175781,364.75,1.9216168562701876,10.752048495793003,76.79795455596481,,0.2649569973424931,,,,,,,,,,,,,,,
2023-05-18,86.0,360.7000122070313,1.655535505476194,9.261766837606586,76.73823316239341,,0.3054288621335946,,,,,,,,,,,,,,,
2023-05-19,86.05000305175781,360.2999877929688,1.6587330662074415,9.293279859891058,76.75672319186675,,0.3191380809326835,,,,,,,,,,,,,,,
2023-05-22,87.1500015258789,361.6000061035156,1.8399982468888847,10.3327455839747,76.81725594190421,,0.3816028055150856,,,,,,,,,,,,,,,
2023-05-23,89.0,366.6000061035156,2.1337758230810984,12.029560139828874,76.97043986017113,1.0,0.4332248605080921,,,,,,,,,,,,,,,
2023-05-24,89.6500015258789,363.2999877929688,2.247986500688828,12.724433944839731,76.92556758103918,,0.4608184844524806,Individual Breakup,,Lot IOC.NS Y,Lot  BPCL.NS X,Total Profit,Total Trade,,,,,,,,,
2023-05-25,89.1500015258789,363.2999877929688,2.1461470557790885,12.189464676686969,76.96053684919194,,0.426842681136669,Margin of BPCL.NS X,Margin of IOC.NS Y,1,28.49993896484375,-135.49996948242188,2,,,,,,,,,
2023-05-26,90.1999969482422,364.2999877929688,2.3106905718926467,13.176207166054525,77.02378978218766,,0.4896461067569497,1,1,,,,,,,,,,,,,
2023-05-29,90.05000305175781,361.7000122070313,2.2805217961877364,13.05603785162451,76.9939652001333,,0.4995556109921769,,,,,,,,,,,,,,,
2023-05-30,90.3000030517578,360.3999938964844,2.3137621527170222,13.303820175193296,76.99618287656452,,0.5383688338513197,,,,,,,,,,,,,,,
2023-05-31,90.0,363.5,2.2317533619068066,12.88791719148783,77.11208280851217,,0.5449253660094621,,,,,,,,,,,,,,,
2023-06-01,90.5,364.5499877929688,2.296283446760857,13.326455174920111,77.17354482507989,,0.5688240409210525,,,,,,,,,,,,,,,
2023-06-02,89.80000305175781,360.04998779296875,2.181455083905066,12.715737198585302,77.08426585317251,,0.5587490821095724,,,,,,,,,,,,,,,
2023-06-05,89.25,356.79998779296875,2.088467068338028,12.224989439618623,77.02501056038138,,0.5277293241668929,,,,,,,,,,,,,,,
2023-06-06,89.4000015258789,356.1499938964844,2.103394857504002,12.362469969156336,77.03753155672257,,0.5466211447712113,,,,,,,,,,,,,,,
2023-06-07,90.8499984741211,368.1000061035156,2.277026419436317,13.450595669107017,77.39940280501408,,0.5916219811442865,,,,,,,,,,,,,,,
2023-06-08,90.05000305175781,361.1000061035156,2.1597192706863697,12.812700223348456,77.23730282840936,,0.5618174711772546,,,,,,,,,,,,,,,
2023-06-09,90.3000030517578,359.45001220703125,2.194464333909541,13.07626720253714,77.22373584922067,,0.5870551554821319,,,,,,,,,,,,,,,
2023-06-12,91.8499984741211,371.6499938964844,2.3773752523848004,14.24339640830965,77.60660206581144,,0.6439040119588902,,,,,,,,,,,,,,,
2023-06-13,91.9000015258789,373.6000061035156,2.357399926892456,14.199110684674013,77.7008908412049,,0.6366538330903131,,,,,,,,,,,,,,,
2023-06-14,93.1500015258789,373.5499877929688,2.5424948930544566,15.407499255436306,77.7425022704426,,0.6747576496803768,,,,,,,,,,,,,,,
2023-06-15,92.9000015258789,378.8999938964844,2.454217429706017,14.949771689855709,77.9502298360232,,0.6588975322716164,,,,,,,,,,,,,,,
2023-06-16,92.1500015258789,376.7999877929688,2.3230233302150265,14.216093832931024,77.93390769294788,,0.6426700981855025,,,,,,,,,,,,,,,
2023-06-19,91.9000015258789,374.75,2.2749137524978105,13.98603973262729,77.91396179325162,,0.6267440445129732,,,,,,,,,,,,,,,
2023-06-20,91.9000015258789,372.4500122070313,2.269517160887223,14.014651508052452,77.88535001782645,,0.6144605616793818,,,,,,,,,,,,,,,
2023-06-21,92.0,372.7999877929688,2.267138112114392,14.05730095722484,77.94269904277516,,0.615262305074954,,,,,,,,,,,,,,,
2023-06-22,92.0,373.3999938964844,2.2475228671063308,13.990240263517094,78.0097597364829,,0.6081372830628942,,,,,,,,,,,,,,,
2023-06-23,89.30000305175781,359.6000061035156,1.877455544979448,11.712707053664928,77.58729599809288,,0.4546422723126451,,,,,,,,,,,,,,,
2023-06-26,89.55000305175781,358.29998779296875,1.9155077464535,11.96874543227382,77.58125761948399,,0.4575908815450002,,,,,,,,,,,,,,,
2023-06-27,89.3499984741211,360.3500061035156,1.8636798418498688,11.659042266708326,77.69095620741277,,0.4418382317873109,,,,,,,,,,,,,,,
2023-06-28,90.6500015258789,365.3999938964844,2.0320623217909906,12.73541004559968,77.91459148027923,,0.5088379287047591,,,,,,,,,,,,,,,
2023-06-30,91.3000030517578,364.7000122070313,2.1273028627831527,13.36493550656526,77.93506754519255,,0.5484063809267136,,,,,,,,,,,,,,,
2023-07-03,95.25,375.2999877929688,2.670135268266729,16.862558880006304,78.3874411199937,,0.6995853541770118,,,,,,,,,,,,,,,
2023-07-04,94.6500015258789,376.6499938964844,2.5457834680949034,16.148401409070544,78.50160011680836,,0.6546060306592962,,,,,,,,,,,,,,,
2023-07-05,95.5,386.5499877929688,2.5956867937530266,16.535858227670644,78.96414177232936,,0.669319518549075,,,,,,,,,,,,,,,
2023-07-06,98.5999984741211,393.2999877929688,3.004810749825609,19.267192660251222,79.33280581386987,,0.7889768382604045,,,,,,,,,,,,,,,
2023-07-07,99.1999969482422,391.6499938964844,3.071819138392648,19.83540217476721,79.36459477347498,,0.8175287270724467,,,,,,,,,,,,,,,
2023-07-10,97.4000015258789,386.2000122070313,2.800428456873981,18.182363596979428,79.21763792889948,,0.7560094882111372,,,,,,,,,,,,,,,
2023-07-11,98.0999984741211,390.8999938964844,2.8459906519511597,18.58343533132522,79.51656314279587,,0.7648466250336619,,,,,,,,,,,,,,,
2023-07-12,97.9000015258789,386.2000122070313,2.8189230178027227,18.5078636598638,79.3921378660151,,0.7499106439853592,,,,,,,,,,,,,,,
2023-07-13,96.1999969482422,379.5499877929688,2.5852081922650703,17.03962205435309,79.1603748938891,,0.6718827334497043,,,,,,,,,,,,,,,
