Dates,ICICIGI.NS Y,HDFCAMC.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCAMC.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-03-29,1275.8499755859375,2094.050048828125,0.7534135245288861,55.90074670938384,1219.9492288765537,,,,,,,,,,,,,,,,
2022-03-30,1329.9000244140625,2163.300048828125,1.1712440500674666,86.75699423733931,1243.1430301767232,,Individual Breakup,,Lot ICICIGI.NS Y,Lot  HDFCAMC.NS X,Total Profit,Total Trade,,,,,,,,,
2022-03-31,1328.300048828125,2146.050048828125,1.2015055241190584,88.77009156963868,1239.5299572584863,,Margin of HDFCAMC.NS X,Margin of ICICIGI.NS Y,425,300,57410.05859375,2,,,,,,,,,
2022-04-01,1348.5999755859375,2276.5,0.9220810698042992,67.73904081012188,1280.8609347758156,,14.51,13.26,,,,,,,,,,,,,
2022-04-04,1349.949951171875,2355.0,0.60850337751301,44.63073135512059,1305.3192198167544,,,,,,,,,,,,,,,,
2022-04-05,1351.8499755859375,2341.449951171875,0.6812849873220047,49.79394345995411,1302.0560321259834,,,,,,,,,,,,,,,,
2022-04-06,1367.4000244140625,2324.300048828125,0.956543010207684,69.60850410321586,1297.7915203108466,,,,,,,,,,,,,,,,
2022-04-07,1396.6500244140625,2286.699951171875,1.5074270311536004,108.92717121829946,1287.722853195763,,,,,,,,,,,,,,,,
2022-04-08,1380.199951171875,2272.60009765625,1.3353077176565975,95.6368889513942,1284.5630622204808,,,,,,,,,,,,,,,,
2022-04-11,1356.0,2257.0,1.0580899555276777,75.10366211825612,1280.896337881744,,,,,,,,,,,,,,,,
2022-04-12,1352.5999755859375,2221.39990234375,1.1549025134561204,81.36509819548951,1271.234877390448,,,,,,,,,,,,,,,,
2022-04-13,1358.6500244140625,2198.25,1.3416818652903562,93.47424558322064,1265.175778830842,,,,,,,,,,,,,,,,
2022-04-18,1357.300048828125,2183.699951171875,1.3803680193870438,95.26005830528766,1262.0399905228371,,,,,,,,,,,,,,,,
2022-04-19,1342.4000244140625,2109.550048828125,1.4776397723555568,100.7353225056595,1241.664701908403,,,,,,,,,,,,,,,,
2022-04-20,1363.0999755859375,2096.64990234375,1.8226501167611495,123.66664917665844,1239.433326409279,,,,,,,,,,,,,,,,
2022-04-21,1401.0,2092.75,2.3721688848051232,160.46222221541075,1240.5377777845893,1.0,,,,,,,,,,,,,,,
2022-04-22,1318.0,2046.550048828125,1.328775867209211,89.36109209016968,1228.6389079098303,,,,,,,,,,,,,,,,
2022-04-25,1305.75,2005.0,1.306696172722299,87.47067690365975,1218.2793230963402,,,,,,,,,,,,,,,,
2022-04-26,1328.199951171875,2087.35009765625,1.275694987641722,85.2922163523308,1242.9077348195442,,,,,,,,,,,,,,,,
2022-04-27,1318.4000244140625,2071.949951171875,1.1806016041472336,78.92615789778347,1239.473866516279,,,,,,,,,,,,,,,,
2022-04-28,1337.5,2053.25,1.5303957729503432,101.88972736034202,1235.610272639658,,,,,,,,,,,,,,,,
2022-04-29,1280.199951171875,2041.75,0.7075906322857165,46.86855739377506,1233.3313937781,,,,,,,,,,,,,,,,
2022-05-02,1283.9000244140625,2028.800048828125,0.8090311300018348,53.23870381173401,1230.6613206023285,,,,,,,,,,,,,,,,
2022-05-04,1275.1500244140625,1995.4000244140625,0.8103130232559027,52.88980866530483,1222.2602157487577,,,,,,,,,,,,,,,,
2022-05-05,1289.9000244140625,1950.4000244140625,1.215566319816073,78.93220777161287,1210.9678166424496,,,,,,,,,,,,,,,,
2022-05-06,1281.4000244140625,1958.0,1.0372683978284971,67.34040589945334,1214.0596185146092,,,,,,,,,,,,,,,,
2022-05-09,1264.3499755859375,1932.550048828125,0.8709588975369994,56.55003243968781,1207.7999431462497,,,,,,,,,,,,,,,,
2022-05-10,1267.8499755859375,1917.6500244140625,0.9739222136329616,63.237975620860425,1204.611999965077,,,,,,,,,,,,,,,,
2022-05-11,1284.449951171875,1876.75,1.3808183531451663,89.4720029351356,1194.9779482367394,,,,,,,,,,,,,,,,
2022-05-12,1249.0999755859375,1840.050048828125,0.9732561872554562,62.80271454813078,1186.2972610378067,,,,,,,,,,,,,,,,
2022-05-13,1280.4000244140625,1770.050048828125,1.726464266001929,110.59545894693996,1169.8045654671223,,,,,,,,,,,,,,,,
2022-05-16,1297.8499755859375,1761.0,1.998447771308972,127.90636991587849,1169.943605670059,,,,,,,,,,,,,,,,
2022-05-17,1311.3499755859375,1811.4000244140625,1.9615948901140212,125.65667072265023,1185.6933048632873,,,,,,,,,,,,,,,,
2022-05-18,1285.3499755859375,1775.0999755859375,1.6745556458054442,107.2211992984212,1178.1287762875163,,,,,,,,,,,,,,,,
2022-05-19,1250.949951171875,1706.75,1.3895563897749608,88.7774756908002,1162.1724754810748,,,,,,,,,,,,,,,,
2022-05-20,1251.5999755859375,1706.800048828125,1.3700599244223572,87.39462569567536,1164.205349890262,,,,,,,,,,,,,,,,
2022-05-23,1220.8499755859375,1735.25,0.7536868240821508,47.94564236483825,1172.9043332210993,,,,,,,,,,,,,,,,
2022-05-24,1212.0999755859375,1702.3499755859375,0.733529104501216,46.51367816583161,1165.586297420106,,,,,,,,,,,,,,,,
2022-05-25,1249.550048828125,1704.4000244140625,1.2908367321900838,81.88318637112161,1167.6668624570034,,,,,,,,,,,,,,,,
2022-05-26,1267.800048828125,1738.1500244140625,1.4193193614134163,90.00610606112514,1177.793942767,,,,,,,,,,,,,,,,
2022-05-27,1260.199951171875,1807.199951171875,1.00777862913587,63.8122616234607,1196.3876895484143,,,,,,,,,,,,,,,,
2022-05-30,1290.300048828125,1835.300048828125,1.3542405288536514,85.53720991314572,1204.7628389149793,,,,,,,,,,,,,,,,
2022-05-31,1265.8499755859375,1896.800048828125,0.7150280404178903,44.953424287926055,1220.8965512980114,,,,,,,,,,,,,,,,
2022-06-01,1252.6500244140625,1854.25,0.6708086197278401,41.995122523969485,1210.654901890093,,,,,,,,,,,,,,,,
2022-06-02,1235.9000244140625,1885.050048828125,0.2745444122259194,17.11969592799801,1218.7803284860645,,,,,,,,,,,,,,,,
2022-06-03,1218.300048828125,1862.050048828125,0.082382854906596,5.124349200696543,1213.1756996274285,,,,,,,,,,,,,,,,
2022-06-06,1200.8499755859375,1858.0,-0.1827776238057886,-11.347879842835482,1212.197855428773,0.0,,,,,,,,,,,,,,,
