Dates,HEROMOTOCO.NS Y,BAJAJ-AUTO.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BAJAJ-AUTO.NS X,Effective Margin of HEROMOTOCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HEROMOTOCO.NS X,Effective Investment of HEROMOTOCO.NS Y,Multiplier X,Multiplier Y
2023-06-09,2899.300048828125,4743.39990234375,0.2905145019934202,47.4697348065265,2851.8303140215985,,0.083610626442587,,,,,,,,,,,,,,,
2023-06-12,2930.39990234375,4769.64990234375,0.4479637436472699,73.0730118131778,2857.326890530572,,0.0774113973555155,,,,,,,,,,,,,,,
2023-06-13,2952.449951171875,4755.9501953125,0.5968825256996544,97.35706781088948,2855.092883360985,,0.0868850001370499,,,,,,,,,,,,,,,
2023-06-14,2931.60009765625,4730.2001953125,0.5009242348007269,81.70669582271694,2849.893401833533,,0.0739436696351547,,,,,,,,,,,,,,,
2023-06-15,2843.050048828125,4721.5498046875,-0.0199794691115423,-3.256694650543068,2846.306743478668,,0.0680670084944165,,,,,,,,,,,,,,,
2023-06-16,2832.050048828125,4641.9501953125,0.0234366470891823,3.821130768561488,2828.2289180595635,,0.0671053969698094,,,,,,,,,,,,,,,
2023-06-19,2782.60009765625,4597.35009765625,-0.2114171245009893,-34.465306108263576,2817.0654037645136,,0.0700103547372458,,,,,,,,,,,,,,,
2023-06-20,2800.699951171875,4662.0,-0.1664793722003738,-27.070420302814,2827.770371474689,,0.0672663220653485,,,,,,,,,,,,,,,
2023-06-21,2823.550048828125,4650.14990234375,0.0001230774667253,0.0199850913409136,2823.530063736784,,0.0656265395165513,,,,,,,,,,,,,,,
2023-06-22,2825.050048828125,4612.10009765625,0.0644763229130783,10.459885673761164,2814.590163154364,,0.0608409222812242,,,,,,,,,,,,,,,
2023-06-23,2776.39990234375,4622.60009765625,-0.2362357025917879,-38.27439832478149,2814.6743006685315,,0.0651172622881074,,,,,,,,,,,,,,,
2023-06-26,2851.25,4606.89990234375,0.2511793513322932,40.65520914589251,2810.5947908541075,,0.063989786780991,,,,,,,,,,,,,,,
2023-06-27,2844.10009765625,4618.0498046875,0.2005567949893664,32.41307129032475,2811.687026365925,,0.0611198580022393,,,,,,,,,,,,,,,
2023-06-28,2828.75,4716.2998046875,-0.0002337782584725,-0.0376620085776266,2828.7876620085776,,0.0566081081616902,,,,,,,,,,,,,,,
2023-06-30,2910.10009765625,4691.5498046875,0.5357190062461342,86.2549765087897,2823.8451211474603,,0.0546050296714703,,,,,,,,,,,,,,,
2023-07-03,2898.75,4610.64990234375,0.562556798200179,90.60702967878252,2808.142970321217,,0.0528657378699478,,,,,,,,,,,,,,,
2023-07-04,3029.800048828125,4625.39990234375,1.3462536406605676,216.88347176875595,2812.916577059369,,0.0692214928288756,,,,,,,,,,,,,,,
2023-07-05,3158.199951171875,4890.0498046875,1.7946725079917552,288.32371451568,2869.876236656195,,0.0833814094702287,,,,,,,,,,,,,,,
2023-07-06,3172.10009765625,4917.7001953125,1.807680769249653,290.7886159480595,2881.3114817081905,,0.0787608140108026,,,,,,,,,,,,,,,
2023-07-07,3148.199951171875,4834.0,1.731217134908034,279.334925530085,2868.86502564179,,0.0782880515033623,,,,,,,,,,,,,,,
