Dates,DRREDDY.NS Y,ABBOTINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABBOTINDIA.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-05-29,4556.25,21893.80078125,-0.0109256847232277,-3.8712768222903833,4560.12127682229,,0.0766133518710074,,,,,,,,,,,,,,,
2023-05-30,4518.89990234375,22054.599609375,-0.1306400684936259,-46.01947969059711,4564.919382034347,,0.0831638050082254,,,,,,,,,,,,,,,
2023-05-31,4501.0498046875,21737.900390625,-0.1750040694259931,-61.352916084646495,4562.4027207721465,,0.0634491060130328,,,,,,,,,,,,,,,
2023-06-01,4552.0498046875,21602.650390625,-0.0296650094962012,-10.348838899885775,4562.398643587386,,0.0761914998748402,,,,,,,,,,,,,,,
2023-06-02,4610.4501953125,21927.25,0.1133496871886011,39.332919441819286,4571.117275870681,,0.0522689901933561,,,,,,,,,,,,,,,
2023-06-05,4603.5498046875,21832.150390625,0.0908988797324455,31.368565248221785,4572.181239439278,,0.0229858137595786,,,,,,,,,,,,,,,
2023-06-06,4636.64990234375,21823.05078125,0.1802527139078175,61.89017144123045,4574.75973090252,,0.0210753093461895,,,,,,,,,,,,,,,
2023-06-07,4673.75,21865.80078125,0.2777244918331822,94.76686530439474,4578.983134695605,,0.0245412148335828,,,,,,,,,,,,,,,
2023-06-08,4649.39990234375,21645.25,0.2158469463553734,73.02316990896634,4576.376732434784,,0.0211606404231521,,,,,,,,,,,,,,,
2023-06-09,4666.7998046875,21791.150390625,0.2485549081644086,83.28377384012492,4583.516030847375,,0.0392324166871772,,,,,,,,,,,,,,,
