Dates,COFORGE.NS Y,TECHM.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of TECHM.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-06-06,4415.5,1086.25,1.2655090496827104,441.6974346998918,3973.802565300108,,0.0642805975159066,,,,,,,,,,,,,,,
2023-06-07,4452.0498046875,1095.699951171875,1.2953528453988996,452.9078971498229,3999.141907537677,,0.0910467288880054,,,,,,,,,,,,,,,
2023-06-08,4385.5498046875,1071.300048828125,1.277071718326288,447.18988518158494,3938.359919505915,,0.0916035466658426,,,,,,,,,,,,,,,
2023-06-09,4408.0,1063.050048828125,1.393764195150365,488.9899250753915,3919.010074924609,,0.0988304318843836,,,,,,,,,,,,,,,
2023-06-12,4506.2998046875,1074.75,1.580692335413178,556.0256026269026,3950.274202060597,,0.1114140855987807,,,,,,,,,,,,,,,
2023-06-13,4567.89990234375,1079.4000244140625,1.712544017665196,604.2176922704598,3963.68221007329,,0.1235208256991063,,,,,,,,,,,,,,,
2023-06-14,4619.60009765625,1077.5999755859375,1.86007054366034,658.5796616657531,3961.020435990497,,0.1388502316423414,,,,,,,,,,,,,,,
2023-06-15,4582.9501953125,1081.5,1.7187922707103516,610.4040350111463,3972.5461603013537,,0.1276822890753422,,,,,,,,,,,,,,,
2023-06-16,4594.25,1077.199951171875,1.771110318871882,630.9474656812172,3963.302534318783,,0.1352312187780742,,,,,,,,,,,,,,,
2023-06-19,4562.89990234375,1093.5999755859375,1.559458491718417,556.9583004139613,4005.9416019297887,,0.1204863073901993,,,,,,,,,,,,,,,
2023-06-20,4559.25,1107.3499755859375,1.4456126936507443,517.4320658071647,4041.8179341928353,,0.1129949682535287,,,,,,,,,,,,,,,
2023-06-21,4604.85009765625,1119.9000244140625,1.4786628462100269,530.4300181198337,4074.420079536416,,0.1166939600956935,,,,,,,,,,,,,,,
2023-06-22,4534.7001953125,1119.050048828125,1.2845188615880174,461.5226988706868,4073.177496441813,,0.1060878019267685,,,,,,,,,,,,,,,
2023-06-23,4499.4501953125,1115.5,1.2070533614663697,434.302041733441,4065.148153579059,,0.1034161042707404,,,,,,,,,,,,,,,
2023-06-26,4606.7001953125,1111.9000244140625,1.5232688620351265,549.347184426997,4057.353010885503,,0.1206718587432501,,,,,,,,,,,,,,,
2023-06-27,4695.4501953125,1119.699951171875,1.707019589739245,617.3709442741301,4078.07925103837,,0.1332071585488264,,,,,,,,,,,,,,,
2023-06-28,4668.89990234375,1108.0999755859375,1.706567112012754,618.8127358733791,4050.087166470371,,0.1360062704782181,,,,,,,,,,,,,,,
2023-06-30,4711.2998046875,1130.8499755859375,1.6594855981967436,603.3163290192015,4107.9834756682985,,0.1293004941248961,,,,,,,,,,,,,,,
2023-07-03,4684.35009765625,1121.449951171875,1.644138789331317,599.0699816162005,4085.2801160400495,,0.1262679941083354,,,,,,,,,,,,,,,
2023-07-04,4708.60009765625,1148.0,1.5242502981515549,556.4044542084839,4152.195643447766,,0.1118708654557447,,,,,,,,,,,,,,,
2023-07-05,4725.4501953125,1175.0,1.383256288462879,505.4891696083123,4219.961025704188,,0.0817439891259542,,,,,,,,,,,,,,,
2023-07-06,4745.2998046875,1179.25,1.409100328297065,514.8660932642133,4230.433711423287,,0.0958987067111917,,,,,,,,,,,,,,,
2023-07-07,4691.64990234375,1156.0,1.4208981462230046,519.4278331547075,4172.2220691890425,,0.0941720923321234,,,,,,,,,,,,,,,
2023-07-10,4611.2998046875,1147.1500244140625,1.2622599448821463,461.4095063759905,4149.8902983115095,,0.0925601234563665,,,,,,,,,,,,,,,
2023-07-11,4696.9501953125,1161.449951171875,1.3971863605851749,511.10130443711387,4185.848890875386,,0.0809985339366553,,,,,,,,,,,,,,,
2023-07-12,4649.7998046875,1159.4000244140625,1.2841279224250386,469.4189299833106,4180.380874704189,,0.0796053673924548,,,,,,,,,,,,,,,
2023-07-13,4755.5,1175.25,1.4643570581053449,535.3586461466639,4220.141353853336,,0.0911772354951129,,,,,,,,,,,,,,,
2023-07-14,4925.7998046875,1228.6500244140625,1.5618326359571533,571.3212107541494,4354.478593933351,,0.0941844234325001,,,,,,,,,,,,,,,
2023-07-17,4958.14990234375,1242.4000244140625,1.5548429064946854,568.9546083719688,4389.195293971781,,0.0915763926104598,,,,,,,,,,,,,,,
2023-07-18,4965.85009765625,1247.550048828125,1.5398919313926407,563.57803982532,4402.27205783093,,0.0960618625557935,,,,,,,,,,,,,,,
2023-07-19,4875.9501953125,1244.699951171875,1.3142776842525892,480.89991461653335,4395.050280695967,,0.0733382734942984,,,,,,,,,,,,,,,
2023-07-20,4819.4501953125,1252.949951171875,1.1052227427537282,403.86909354867566,4415.581101763824,,0.0571031284133875,,,,,,,,,,,,,,,
2023-07-21,4640.2998046875,1195.0999755859375,1.0188783263841743,371.5496791158603,4268.75012557164,,0.0531650853403423,,,,,,,,,,,,,,,
2023-07-24,4725.7001953125,1161.8499755859375,1.4860099980098929,541.3613755896422,4184.338819722858,,0.0640230163734355,,,,,,,,,,,,,,,
2023-07-25,4687.75,1156.5,1.4220669457250883,517.3613312049156,4170.388668795084,,0.0167302655083889,,,,,,,,,,,,,,,
2023-07-26,4716.14990234375,1143.199951171875,1.606219402693192,580.6585144448627,4135.491387898887,,0.0600720704794324,,,,,,,,,,,,,,,
2023-07-27,4692.7001953125,1099.9000244140625,1.8472795547227825,666.824588698928,4025.875606613572,,0.5696891140423532,,,,,,,,,,,,,,,
2023-07-28,4672.2998046875,1091.050048828125,1.8562942720402424,668.7361447173339,4003.563659970166,,0.1095383742801104,,,,,,,,,,,,,,,
2023-07-31,4703.7001953125,1115.5,1.7702392790404824,637.9352040861254,4065.764991226375,,0.1517317767010814,,,,,,,,,,,,,,,
2023-08-01,4845.4501953125,1143.5,1.9596305788241208,708.1387316457731,4137.311463666727,,0.6690701986170717,,,,,,,,,,,,,,,
2023-08-02,4757.10009765625,1145.6500244140625,1.6949812166272586,613.6615062540759,4143.438591402174,,0.6149085281024328,,,,,,,,,,,,,,,
2023-08-03,4765.25,1142.800048828125,1.7314411407469257,628.1898913218156,4137.060108678184,,0.6052604213922849,,,,,,,,,,,,,,,
2023-08-04,4888.14990234375,1175.199951171875,1.837613060567991,668.6134985689478,4219.536403774802,,0.6271325571467149,,,,,,,,,,,,,,,
2023-08-07,4942.64990234375,1183.6500244140625,1.919459143959893,700.775282206243,4241.874620137507,,0.6611664515356299,,,,,,,,,,,,,,,
2023-08-08,4980.89990234375,1205.4000244140625,1.8645636835910109,683.1234872407713,4297.776415102979,,0.6506247168780501,,,,,,,,,,,,,,,
2023-08-09,5067.9501953125,1228.0,1.9363874914023853,712.1169378013246,4355.833257511175,,0.6439804048508176,,,,,,,,,,,,,,,
2023-08-10,5146.89990234375,1235.800048828125,2.0846926407707977,770.0396684352236,4376.860233908526,1.0,0.668181213785348,,,,,,,,,,,,,,,
2023-08-11,5267.89990234375,1220.449951171875,2.4961456831288147,927.8754011088658,4340.024501234884,,0.3567674622290447,,,,,,,,,,,,,,,
2023-08-14,5277.0498046875,1219.75,2.5045189516153963,936.9666749272964,4340.083129760204,,0.3636225587934585,,,,,,,,,,,,,,,
2023-08-16,5075.9501953125,1227.8499755859375,1.902834265975223,714.3854354424957,4361.564759870004,,0.2415046542089872,,,,,,,,,,,,,,,
2023-08-17,5005.2001953125,1231.75,1.6808359518908758,632.7990033653077,4372.401191947192,,0.2098824426841654,,,,,,,,,,,,,,,
2023-08-18,4920.14990234375,1210.800048828125,1.5882853842224494,599.3909100408155,4320.758992302935,,0.2111584524113796,,,,,,,,,,,,,,,
2023-08-21,4996.5,1218.8499755859375,1.7282509832065918,654.2022699620675,4342.2977300379325,,0.2318654325541128,,,,,,,,,,,,,,,
2023-08-22,4961.0,1213.199951171875,1.6640505819862828,631.6702566663389,4329.329743333661,,0.22605696049024,,,,,,,,,,,,,,,
2023-08-23,4913.10009765625,1201.0,1.6111190665815012,613.1822949570615,4299.9178026991885,,0.2171888748976793,,,,,,,,,,,,,,,
2023-08-24,5390.85009765625,1199.0999755859375,2.850493302177405,1093.7415409163775,4297.108556739872,,0.805437306587565,,,,,,,,,,,,,,,
