Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-03-22,1250.4000244140625,529.2999877929688,0.3289979613137065,18.032141124737564,1232.367883289325,,2.0,1193947.5372314453,171423.76796325683,101774.62208740234,69649.14587585449,4.0,-3.8309905815676273,-45740.01770019531,-26.682424639037965,-54485.03112792969,8745.013427734375,668690.0268554688,525257.5103759766,1.0,1.0
2022-03-23,1252.5,525.8499755859375,0.4291095173760955,23.283044391987687,1229.2169556080123,,3.0,1137983.7127685547,163543.73578674317,98208.56791259766,65335.16787414551,49.0,7.993520355005073,90964.95971679688,55.621182480148825,-12325.0,103289.95971679688,645259.9731445312,492723.7396240234,1.0,1.0
2022-03-24,1244.1500244140625,522.3499755859375,0.3517915501856308,19.012373939621284,1225.1376504744412,,,,,,,,,,,,,,,,
2022-03-25,1265.550048828125,519.5499877929688,0.8108930097689052,43.79110415306377,1221.7589446750612,,,,,,,,,,,,,,,,
2022-03-28,1265.75,512.5999755859375,0.9851912171594188,53.11466258530163,1212.6353374146984,,,,,,,,,,,,,,,,
2022-03-29,1275.8499755859375,523.0,0.8714261879154608,47.01513821425328,1228.8348373716842,,,,,,,,,,,,,,,,
2022-03-30,1329.9000244140625,542.2999877929688,1.328400676443077,71.83228694287413,1258.0677374711884,,,,,,,,,,,,,,,,
2022-03-31,1328.300048828125,538.2000122070312,1.4030497736874308,76.00188915948456,1252.2981596686404,,Individual Breakup,,Lot ICICIGI.NS Y,Lot  HDFCLIFE.NS X,Total Profit,Total Trade,,,,,,,,,
2022-04-01,1348.5999755859375,550.3499755859375,1.4306737142960808,77.6545926181766,1270.945382967761,,Margin of HDFCLIFE.NS X,Margin of ICICIGI.NS Y,425,1100,120456.25,3,,,,,,,,,
2022-04-04,1349.949951171875,571.7999877929688,0.8698276761126326,47.27766925037509,1302.6722819215,,15.22,13.26,,,,,,,,,,,,,
2022-04-05,1351.8499755859375,569.6500244140625,0.9572454613468896,52.07145712459419,1299.7785184613433,,,,,,,,,,,,,,,,
2022-04-06,1367.4000244140625,555.8499755859375,1.6063841788449762,87.5711398505457,1279.8288845635168,,,,,,,,,,,,,,,,
2022-04-07,1396.6500244140625,559.0,2.038277408418904,111.58182827328072,1285.0681961407818,1.0,,,,,,,,,,,,,,,
2022-04-08,1380.199951171875,564.7999877929688,1.5717350064349542,86.27078087675682,1293.9291702951182,,,,,,,,,,,,,,,,
2022-04-11,1356.0,567.4000244140625,1.0535425531365457,57.88208759536701,1298.117912404633,,,,,,,,,,,,,,,,
2022-04-12,1352.5999755859375,562.2999877929688,1.1214111163648897,61.678813325415376,1290.921162260522,,,,,,,,,,,,,,,,
2022-04-13,1358.6500244140625,564.8499755859375,1.1554157183055394,63.62902577659042,1295.020998637472,,,,,,,,,,,,,,,,
2022-04-18,1357.300048828125,574.2999877929688,0.8744899623117701,48.18634874772465,1309.1137000804003,,,,,,,,,,,,,,,,
2022-04-19,1342.4000244140625,546.7000122070312,1.3142951664732272,72.37278787042987,1270.0272365436326,,,,,,,,,,,,,,,,
2022-04-20,1363.0999755859375,559.2999877929688,1.3518018929757072,74.60755769414254,1288.492417891795,,,,,,,,,,,,,,,,
2022-04-21,1401.0,570.9500122070312,1.7223441090279994,95.37671211998986,1305.62328788001,,,,,,,,,,,,,,,,
2022-04-22,1318.0,554.0499877929688,0.6602930571682609,36.55861068732065,1281.4413893126791,,,,,,,,,,,,,,,,
2022-04-25,1305.75,540.0,0.8001973359472906,44.30668354792465,1261.4433164520754,,,,,,,,,,,,,,,,
2022-04-26,1328.199951171875,549.8499755859375,0.9496440043508704,52.62502307806562,1275.5749280938094,,,,,,,,,,,,,,,,
2022-04-27,1318.4000244140625,547.6500244140625,0.8379466440252622,46.352361663508646,1272.047662750554,,,,,,,,,,,,,,,,
2022-04-28,1337.5,571.4000244140625,0.5673554338149128,31.406048406922764,1306.0939515930772,,,,,,,,,,,,,,,,
2022-04-29,1280.199951171875,582.4000244140625,-0.7466094412888616,-41.33889977657259,1321.5388509484476,0.0,,,,,,,,,,,,,,,
