Dates,COFORGE.NS Y,BSOFT.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BSOFT.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-06-30,4711.2998046875,358.8999938964844,0.9454375577722536,416.8259545971305,4294.4738500903695,,0.2169951550937754,,,,,,,,,,,,,,,
2023-07-03,4684.35009765625,354.25,0.9496292628071128,418.87806930149145,4265.472028354759,,0.2188679829302504,,,,,,,,,,,,,,,
2023-07-04,4708.60009765625,353.95001220703125,1.0051081652757992,443.6332560125702,4264.96684164368,,0.2308205856470558,,,,,,,,,,,,,,,
2023-07-05,4725.4501953125,353.6499938964844,1.043692859239914,461.06396153050537,4264.386233781995,,0.2487467120918007,,,,,,,,,,,,,,,
2023-07-06,4745.2998046875,353.79998779296875,1.082655460762899,478.8418920337263,4266.457912653774,,0.2508838822101337,,,,,,,,,,,,,,,
2023-07-07,4691.64990234375,354.70001220703125,0.9447215304527882,418.17855820345176,4273.471344140298,,0.240208195791548,,,,,,,,,,,,,,,
2023-07-10,4611.2998046875,345.95001220703125,0.8894301915842343,393.979274874986,4217.320529812514,,0.2337518571892057,,,,,,,,,,,,,,,
2023-07-11,4696.9501953125,355.1499938964844,0.9436281314690278,418.33741203877526,4278.612783273725,,0.2478521630680432,,,,,,,,,,,,,,,
2023-07-12,4649.7998046875,349.29998779296875,0.9208628892175712,408.5843836999911,4241.215420987509,,0.2460996551839369,,,,,,,,,,,,,,,
2023-07-13,4755.5,361.8999938964844,0.9702164738392948,430.88929699388063,4324.610703006119,,0.248445996621741,,,,,,,,,,,,,,,
2023-07-14,4925.7998046875,379.7000122070313,1.087598182034252,483.5286156515304,4442.27118903597,,0.2660984006134399,,,,,,,,,,,,,,,
2023-07-17,4958.14990234375,383.9500122070313,1.093870023707119,486.8848765784224,4471.265025765328,,0.2687553136110535,,,,,,,,,,,,,,,
2023-07-18,4965.85009765625,392.2999877929688,0.9850556066813384,438.85170406212455,4526.998393594125,,0.2597163639946395,,,,,,,,,,,,,,,
2023-07-19,4875.9501953125,393.5,0.7637226238640562,340.43943990000025,4535.5107554125,,0.2386006987254723,,,,,,,,,,,,,,,
2023-07-20,4819.4501953125,392.4500122070313,0.6513315631651809,290.4449859274673,4529.005209385033,,0.23078052903505,,,,,,,,,,,,,,,
2023-07-21,4640.2998046875,385.6000061035156,0.3501053789863984,156.13389639153866,4484.165908295961,,0.2167901142252201,,,,,,,,,,,,,,,
2023-07-24,4725.7001953125,383.3500061035156,0.573840749914434,255.983724033832,4469.716471278668,,0.224211585181666,,,,,,,,,,,,,,,
2023-07-25,4687.75,378.0499877929688,0.5658805240377514,252.5008996512233,4435.249100348777,,0.1804970247676523,,,,,,,,,,,,,,,
2023-07-26,4716.14990234375,379.2999877929688,0.6134022760848763,273.3727786827858,4442.777123660964,,0.1958883043435885,,,,,,,,,,,,,,,
