Dates,LUPIN.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of LUPIN.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of LUPIN.NS X,Effective Investment of LUPIN.NS Y,Multiplier X,Multiplier Y
2022-03-31,747.0499877929688,442.0,-2.04992440920326,-157.50554775707235,904.5555355500412,,Margin of GLENMARK.NS X,Margin of LUPIN.NS Y,850,1450,46792.491149902344,1,,,,,,,,,
2022-04-01,765.5,452.3500061035156,-1.9523089564426857,-150.60183882876913,916.1018388287692,,16.47,15.14,,,,,,,,,,,,,
2022-04-04,790.5499877929688,460.25,-1.734922155202848,-134.2047309848001,924.7547187777687,,,,,,,,,,,,,,,,
2022-04-05,776.2000122070312,470.1499938964844,-2.055177679238504,-159.61628928402217,935.8163014910534,,,,,,,,,,,,,,,,
2022-04-06,772.7999877929688,475.1000061035156,-2.1581613242957203,-168.01786003351208,940.8178478264808,,,,,,,,,,,,,,,,
2022-04-07,784.5999755859375,477.1000061035156,-2.023172479797368,-157.92249000422612,942.5224655901636,,,,,,,,,,,,,,,,
2022-04-08,782.0499877929688,479.1499938964844,-2.0725858549805403,-162.40007514069657,944.4500629336652,,,,,,,,,,,,,,,,
2022-04-11,785.5,478.0499877929688,-1.997732668708736,-157.02689221014862,942.5268922101486,,,,,,,,,,,,,,,,
2022-04-12,773.5999755859375,475.2000122070313,-2.089591152463341,-164.80457153502653,938.404547120964,,,,,,,,,,,,,,,,
2022-04-13,773.0,477.7999877929688,-2.121572278174482,-167.96830706728383,940.9683070672838,,,,,,,,,,,,,,,,
2022-04-18,770.1500244140625,467.9500122070313,-1.9898305755649952,-158.02522015343015,928.1752445674928,,,,,,,,,,,,,,,,
2022-04-19,769.5,459.4500122070313,-1.8517434572946516,-147.45562179608487,916.9556217960848,,,,,,,,,,,,,,,,
2022-04-20,777.2000122070312,457.25,-1.7084900614794172,-136.3825042814035,913.5825164884347,,,,,,,,,,,,,,,,
2022-04-21,782.4500122070312,453.6000061035156,-1.5733194827948978,-125.67937394471689,908.129386151748,,,,,,,,,,,,,,,,
2022-04-22,754.2000122070312,443.5499877929688,-1.7529047457443627,-140.05556607549738,894.2555782825286,,,,,,,,,,,,,,,,
2022-04-25,725.4000244140625,427.0499877929688,-1.8310051601240231,-146.45419271756964,871.8542171316321,,,,,,,,,,,,,,,,
2022-04-26,758.5999755859375,435.75,-1.5391450511180909,-123.2077570136837,881.8077325996212,,,,,,,,,,,,,,,,
2022-04-27,742.5999755859375,436.1499938964844,-1.7286145680311082,-138.64829807072044,881.248273656658,,,,,,,,,,,,,,,,
2022-04-28,748.6500244140625,439.2000122070313,-1.6864142977592425,-135.4921760378237,884.1422004518862,,,,,,,,,,,,,,,,
