Dates,IDEA.NS Y,BSOFT.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BSOFT.NS X,Effective Margin of IDEA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IDEA.NS X,Effective Investment of IDEA.NS Y,Multiplier X,Multiplier Y
2023-02-09,7.849999904632568,288.29998779296875,-0.4741549686782341,-0.7057050309916448,8.555704935624213,,0.0177089964554004,1.0,905.1499834060669,9.05149983406067,4.541499938964844,4.5099998950958256,27.0,15.759818429172856,142.64999389648438,1575.9818429172858,192.5,-49.850006103515625,454.1499938964844,450.9999895095825,1.0,55.0
2023-02-10,7.849999904632568,292.45001220703125,-0.4978721527007375,-0.7354837374887655,8.585483642121334,,0.0224733659207596,2.0,1399.3499755859375,13.993499755859375,7.023499755859375,6.97,12.0,12.43434623336292,174.00002098083496,1243.434623336292,96.10003662109376,77.89998435974121,702.3499755859375,697.0,1.0,41.0
2023-02-13,7.849999904632568,287.54998779296875,-0.4445636208834485,-0.65237522131258,8.502375125945148,,0.0336785876356239,,,,,8.41,,,,,,,845.25,841.0,1.0,58.0
2023-02-14,7.699999809265137,287.79998779296875,-0.5374667879757455,-0.7830398273592571,8.483039636624394,,0.0356256169432027,,,,,,,,,,,,,,,
2023-02-15,7.75,293.04998779296875,-0.5393014417958049,-0.78098415751362,8.53098415751362,,0.029688991001106,,,,,,,,,,,,,,,
2023-02-16,7.5,295.6499938964844,-0.7257608327916933,-1.046732085945127,8.546732085945127,,0.0133007842730636,,,,,,,,,,,,,,,
2023-02-17,7.25,291.20001220703125,-0.8475682305974774,-1.2175789698212505,8.46757896982125,,0.0110618825125341,,,,,,,,,,,,,,,
2023-02-20,7.050000190734863,291.3999938964844,-0.9778152928016132,-1.3985525924256734,8.448552783160537,,0.0069557159034232,,,,,,,,,,,,,,,
2023-02-21,7.0,287.1000061035156,-0.960310924413765,-1.3647825567781808,8.36478255677818,,0.0047806649159215,Individual Breakup,,Lot IDEA.NS Y,Lot  BSOFT.NS X,Total Profit,Total Trade,,,,,,,,,
2023-02-22,7.0,282.54998779296875,-0.9036210155530402,-1.2744649267783856,8.274464926778386,,0.0055169029384094,Margin of BSOFT.NS X,Margin of IDEA.NS Y,1,-68.8499755859375,386.49999046325684,2,,,,,,,,,
2023-02-23,6.699999809265137,283.04998779296875,-1.1083314537616864,-1.553497244467147,8.253497053732284,,0.0068758906716073,1,1,,,,,,,,,,,,,
2023-02-24,6.75,282.95001220703125,-1.058515484397305,-1.4752308908453724,8.225230890845372,,0.0051676631004844,,,,,,,,,,,,,,,
2023-02-27,6.699999809265137,277.75,-1.0276663419304293,-1.4227578875625433,8.12275769682768,,0.0060147695768279,,,,,,,,,,,,,,,
2023-02-28,6.800000190734863,275.25,-0.915996621842484,-1.26065065499834,8.060650845733203,,0.0054702193753834,,,,,,,,,,,,,,,
2023-03-01,6.900000095367432,277.0,-0.8487511212860199,-1.161289087806436,8.061289183173868,,0.0070064272456011,,,,,,,,,,,,,,,
2023-03-02,6.949999809265137,276.6000061035156,-0.7946522886454466,-1.0821137904758693,8.032113599741006,,0.0063341009165065,,,,,,,,,,,,,,,
2023-03-03,6.900000095367432,280.5,-0.8615290187500937,-1.167772219943032,8.067772315310464,,0.0084439981160408,,,,,,,,,,,,,,,
2023-03-06,6.949999809265137,288.25,-0.9001082171702158,-1.216061194191159,8.166061003456296,,0.0076084853016098,,,,,,,,,,,,,,,
2023-03-08,6.949999809265137,286.1000061035156,-0.8641780277644204,-1.162947604378182,8.112947413643319,,0.0079296521306866,,,,,,,,,,,,,,,
2023-03-09,6.849999904632568,281.29998779296875,-0.8713647808902232,-1.168418356337401,8.01841826096997,,0.0085934263681376,,,,,,,,,,,,,,,
2023-03-10,6.75,279.29998779296875,-0.9107484361174478,-1.2175879763618127,7.967587976361813,,0.008368227045845,,,,,,,,,,,,,,,
2023-03-13,6.599999904632568,276.29998779296875,-0.9754555314858744,-1.300292220575075,7.900292125207644,,0.0091923951406927,,,,,,,,,,,,,,,
2023-03-14,6.550000190734863,274.0,-0.9728311081020588,-1.2935317463689318,7.843531937103795,,0.0079754157608058,,,,,,,,,,,,,,,
2023-03-15,6.400000095367432,274.6499938964844,-1.0799385622930155,-1.4321416766898505,7.832141772057282,,0.009232005129834,,,,,,,,,,,,,,,
2023-03-16,6.449999809265137,270.8500061035156,-0.9826165028541496,-1.2998485453005788,7.7498483545657155,,0.0072321790926554,,,,,,,,,,,,,,,
2023-03-17,6.400000095367432,276.54998779296875,-1.0777872937018915,-1.4219551806103778,7.8219552759778095,,0.0067521448022215,,,,,,,,,,,,,,,
2023-03-20,6.349999904632568,273.0,-1.057958566602628,-1.3911981837987382,7.741198088431306,,0.0083566049538045,,,,,,,,,,,,,,,
2023-03-21,6.300000190734863,267.6499938964844,-1.0149029270391845,-1.3313479241472876,7.631348114882151,,0.0123396257667787,,,,,,,,,,,,,,,
2023-03-22,6.550000190734863,272.0,-0.8689082220704265,-1.139010453299166,7.689010644034029,,0.0109532012905828,,,,,,,,,,,,,,,
2023-03-23,6.449999809265137,268.0,-0.8823733294542335,-1.1553632576328925,7.605363066898029,,0.0101914319204893,,,,,,,,,,,,,,,
2023-03-24,6.25,264.70001220703125,-0.9797232630800796,-1.2813207836396394,7.531320783639639,,0.0100674870198575,,,,,,,,,,,,,,,
