Dates,ABBOTINDIA.NS Y,ZYDUSLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ZYDUSLIFE.NS X,Effective Margin of ABBOTINDIA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ABBOTINDIA.NS X,Effective Investment of ABBOTINDIA.NS Y,Multiplier X,Multiplier Y
2023-07-13,23392.55078125,591.4500122070312,1.067635338632701,1586.7945773378924,21805.756203912108,,0.0521883059717056,,,,,,,,,,,,,,,
2023-07-14,23293.900390625,595.3499755859375,0.9223066918530032,1356.8778838093276,21937.022506815672,,0.0573049907194153,,,,,,,,,,,,,,,
2023-07-17,23151.94921875,603.0499877929688,0.7033063856071157,1023.4251665929188,22128.52405215708,,0.0673806883396053,,,,,,,,,,,,,,,
2023-07-18,23345.650390625,602.0499877929688,0.8084645760511835,1165.6873589303725,22179.963031694628,,0.1116959381671357,,,,,,,,,,,,,,,
2023-07-19,23468.650390625,607.5,0.7938971821490648,1134.2239879532644,22334.426402671736,,0.1679214749204844,,,,,,,,,,,,,,,
2023-07-20,23665.099609375,617.5499877929688,0.7754840024570087,1098.1324744073572,22566.967134967643,,0.1226425047929781,,,,,,,,,,,,,,,
2023-07-21,23183.849609375,613.2000122070312,0.4568176928743527,642.0850045382613,22541.76460483674,,0.0737745091951638,,,,,,,,,,,,,,,
2023-07-24,23171.25,613.7999877929688,0.4122824199315595,575.6279000049472,22595.622099995053,,0.0221436791902767,,,,,,,,,,,,,,,
2023-07-25,22986.400390625,621.75,0.1543237961286817,214.28631992630835,22772.11407069869,,0.0189669919212977,,,,,,,,,,,,,,,
2023-07-26,22945.44921875,622.75,0.090338633197707,125.02352977442206,22820.425688975574,,0.0079060044316466,,,,,,,,,,,,,,,
2023-07-27,23705.849609375,649.5,0.2651187602562841,364.5089506800723,23341.340658694928,,0.0058521859158409,,,,,,,,,,,,,,,
2023-07-28,24059.94921875,640.5,0.5987751473587649,816.302203651685,23243.647015098315,,0.0297405645975252,,,,,,,,,,,,,,,
2023-07-31,24068.599609375,632.25,0.6757980089131234,912.9587954784,23155.6408138966,,0.0593568399937064,,,,,,,,,,,,,,,
2023-08-01,23943.19921875,633.9000244140625,0.518494195628895,691.6006853897707,23251.59853336023,,0.065252191629462,,,,,,,,,,,,,,,
2023-08-02,24084.69921875,628.5999755859375,0.6578691976032179,866.4154725367916,23218.28374621321,,0.0566618933635826,,,,,,,,,,,,,,,
2023-08-03,24555.80078125,640.0,0.8124045948645968,1060.3720667807977,23495.428714469203,,0.0876545471790405,,,,,,,,,,,,,,,
2023-08-04,23864.0,649.75,0.1069979802849538,138.41626774227916,23725.58373225772,,0.0816212616418806,,,,,,,,,,,,,,,
2023-08-07,23964.75,655.2000122070312,0.0800369146726097,102.921368051655,23861.828631948345,,0.1021090301681723,,,,,,,,,,,,,,,
2023-08-08,23774.349609375,655.3499755859375,-0.0924432020228048,-118.2517251961981,23892.6013345712,,0.0757597124268606,,,,,,,,,,,,,,,
2023-08-09,23749.099609375,661.5499877929688,-0.2210688086432471,-281.61590614493616,24030.715515519936,,0.0661416355229409,,,,,,,,,,,,,,,
