Dates,COFORGE.NS Y,FSL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of FSL.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2022-12-06,4079.89990234375,112.1500015258789,1.0368944693290878,549.6294872397639,3530.270415103986,,0.1940367296584298,,,,,,,,,,,,,,,
2022-12-07,4023.949951171875,110.9499969482422,0.971676525832433,515.3666989190297,3508.5832522528453,,0.1899618777667453,,,,,,,,,,,,,,,
2022-12-08,3985.800048828125,110.8499984741211,0.8981231648958313,476.5871670622828,3509.212881765842,,0.1869169612710722,,,,,,,,,,,,,,,
2022-12-09,3877.199951171875,106.4000015258789,0.8578708429581539,455.35415830543616,3421.845792866439,,0.179424494268754,,,,,,,,,,,,,,,
2022-12-12,3906.25,106.8000030517578,0.8911390459223568,473.1816396468753,3433.0683603531247,,0.1853670715165818,,,,,,,,,,,,,,,
2022-12-13,3918.60009765625,107.1500015258789,0.8950830758933475,475.4855634152664,3443.114534240984,,0.1832956755098228,,,,,,,,,,,,,,,
2022-12-14,3985.300048828125,108.4499969482422,0.9649189543618114,512.8504159262457,3472.44963290188,,0.1882302029734529,,,,,,,,,,,,,,,
2022-12-15,3875.25,106.4000015258789,0.8293103029940149,440.8256221192487,3434.4243778807518,,0.1866770268639186,,,,,,,,,,,,,,,
2022-12-16,3952.60009765625,105.3000030517578,1.0095205572010175,536.9751811128308,3415.624916543419,,0.1944704799745309,,,,,,,,,,,,,,,
2022-12-19,3895.64990234375,104.25,0.934840250208118,497.4368646680618,3398.213037675688,,0.1987890932310186,,,,,,,,,,,,,,,
2022-12-20,3895.949951171875,103.8499984741211,0.9439561641281032,502.6054313108134,3393.3445198610616,,0.1992269715422137,,,,,,,,,,,,,,,
2022-12-21,3920.39990234375,102.8000030517578,1.0219958612076914,544.5501337363289,3375.849768607421,,0.1853990490243836,,,,,,,,,,,,,,,
2022-12-22,3885.60009765625,102.8000030517578,0.94913698555048,505.7244783049464,3379.875619351304,,0.1376283896915001,,,,,,,,,,,,,,,
2022-12-23,3735.449951171875,97.3499984741211,0.8620085992248834,458.4353601218795,3277.0145910499955,,0.1467003557874131,,,,,,,,,,,,,,,
2022-12-26,3770.64990234375,101.1500015258789,0.7800669463859834,414.4087065408985,3356.2411958028515,,0.1591592930425873,,,,,,,,,,,,,,,
2022-12-27,3874.35009765625,102.0999984741211,0.9324376442769132,495.1227049718264,3379.227392684424,,0.1617119047086855,,,,,,,,,,,,,,,
2022-12-28,3914.5,101.0999984741211,1.03670166679744,550.1892242239373,3364.3107757760627,,0.1752833699464988,,,,,,,,,,,,,,,
2022-12-29,3915.35009765625,101.6500015258789,1.0099656605291938,535.8158286322637,3379.5342690239863,,0.1877544837821939,,,,,,,,,,,,,,,
