Dates,HEROMOTOCO.NS Y,ASHOKLEY.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of ASHOKLEY.NS X,Effective Margin of HEROMOTOCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HEROMOTOCO.NS X,Effective Investment of HEROMOTOCO.NS Y,Multiplier X,Multiplier Y
2022-03-17,2419.89990234375,114.4499969482422,-1.2380196738300056,-428.6805022976423,2848.5804046413923,,,,,,,,,,,,,,,,
2022-03-21,2391.550048828125,110.8000030517578,-1.2678312122316715,-438.0647424925237,2829.6147913206487,,,,,,,,,,,,,,,,
2022-03-22,2423.64990234375,112.1999969482422,-1.199883677456174,-412.6902146164184,2836.3401169601684,,,,,,,,,,,,,,,,
2022-03-23,2394.64990234375,112.1500015258789,-1.287890203006659,-441.0512148467851,2835.701117190535,,,,,,,,,,,,,,,,
2022-03-24,2412.14990234375,112.0500030517578,-1.2391787193420354,-422.6928663002268,2834.842768643977,,,,,,,,,,,,,,,,
2022-03-25,2378.39990234375,113.5500030517578,-1.36063342456035,-462.9371278801532,2841.337030223903,,Individual Breakup,,Lot HEROMOTOCO.NS Y,Lot  ASHOKLEY.NS X,Total Profit,Total Trade,,,,,,,,,
2022-03-28,2377.949951171875,114.0500030517578,-1.373543477071969,-465.1885865809391,2843.138537752814,,Margin of ASHOKLEY.NS X,Margin of HEROMOTOCO.NS Y,300,5000,0,0,,,,,,,,,
2022-03-29,2210.64990234375,114.0999984741211,-1.8747174810603289,-631.8802305833897,2842.53013292714,,16.82,13.39,,,,,,,,,,,,,
2022-03-30,2271.64990234375,115.0,-1.7114309491917752,-573.9903423250134,2845.6402446687634,,,,,,,,,,,,,,,,
2022-03-31,2294.14990234375,117.25,-1.6768305130640644,-559.8764146312892,2854.026316975039,,,,,,,,,,,,,,,,
2022-04-01,2240.14990234375,119.1500015258789,-1.8658527524464263,-620.0181450515311,2860.168047395281,,,,,,,,,,,,,,,,
2022-04-04,2311.75,121.0,-1.6720732940887988,-554.0657574076772,2865.815757407677,,,,,,,,,,,,,,,,
2022-04-05,2332.25,123.3000030517578,-1.6355711637140231,-540.5787454090632,2872.8287454090632,,,,,,,,,,,,,,,,
2022-04-06,2346.89990234375,124.6999969482422,-1.6025893114365903,-529.2971374439603,2876.1970397877103,,,,,,,,,,,,,,,,
2022-04-07,2350.60009765625,126.0,-1.602166585606121,-528.2805916211587,2878.8806892774087,,,,,,,,,,,,,,,,
2022-04-08,2362.449951171875,129.14999389648438,-1.5974721327824934,-525.0509484280274,2887.5008995999024,,,,,,,,,,,,,,,,
2022-04-11,2335.39990234375,130.5500030517578,-1.691595787995823,-553.9936222902907,2889.3935246340407,,,,,,,,,,,,,,,,
2022-04-12,2297.89990234375,129.39999389648438,-1.7908269601494524,-585.001963333269,2882.901865677019,,,,,,,,,,,,,,,,
2022-04-13,2274.39990234375,127.6500015258789,-1.843264963292084,-600.3994850908421,2874.799387434592,,,,,,,,,,,,,,,,
2022-04-18,2285.39990234375,127.5999984741211,-1.8059287608968724,-586.6223493739599,2872.02225171771,,,,,,,,,,,,,,,,
2022-04-19,2263.25,124.5,-1.843021966814221,-597.6154731187266,2860.865473118726,,,,,,,,,,,,,,,,
2022-04-20,2274.85009765625,127.8499984741211,-1.8330517621778817,-592.8145571179075,2867.664654774157,,,,,,,,,,,,,,,,
2022-04-21,2317.64990234375,128.5,-1.7025760095092997,-549.1785108548361,2866.828413198586,,,,,,,,,,,,,,,,
2022-04-22,2294.25,129.10000610351562,-1.774767939849213,-571.3806884943533,2865.6306884943533,,,,,,,,,,,,,,,,
2022-04-25,2288.60009765625,125.8000030517578,-1.7638058950766424,-566.8473872476661,2855.447484903916,,,,,,,,,,,,,,,,
2022-04-26,2407.25,129.89999389648438,-1.42113807913162,-455.3098673524346,2862.5598673524346,,,,,,,,,,,,,,,,
2022-04-27,2500.0,127.0,-1.109145776852853,-354.8711790662019,2854.871179066202,,,,,,,,,,,,,,,,
2022-04-28,2517.300048828125,128.60000610351562,-1.0642380055730023,-339.2470103921396,2856.5470592202646,,,,,,,,,,,,,,,,
2022-04-29,2506.64990234375,127.0999984741211,-1.0877119411039502,-345.31005949855853,2851.9599618423085,,,,,,,,,,,,,,,,
2022-05-02,2487.300048828125,126.1999969482422,-1.1422707531120009,-361.4502976658737,2848.7503464939987,,,,,,,,,,,,,,,,
2022-05-04,2409.5,120.5500030517578,-1.357094391717388,-428.1398438818087,2837.6398438818087,,,,,,,,,,,,,,,,
2022-05-05,2501.64990234375,123.5999984741211,-1.0825599071211844,-339.910318499366,2841.560220843116,,,,,,,,,,,,,,,,
2022-05-06,2563.35009765625,119.5500030517578,-0.8672867205572296,-271.42063294089667,2834.7707305971467,,,,,,,,,,,,,,,,
2022-05-09,2492.75,117.4499969482422,-1.0846038982168904,-338.5082586382682,2831.258258638268,,,,,,,,,,,,,,,,
2022-05-10,2469.75,118.6999969482422,-1.1638495571237872,-362.5772253865284,2832.3272253865284,,,,,,,,,,,,,,,,
2022-05-11,2470.300048828125,116.3499984741211,-1.1524097263364372,-358.5669882393454,2828.8670370674704,,,,,,,,,,,,,,,,
2022-05-12,2401.199951171875,117.4499969482422,-1.3783640447585102,-428.3079186829423,2829.5078698548173,,,,,,,,,,,,,,,,
2022-05-13,2449.14990234375,122.5999984741211,-1.2429422512743142,-384.89431852209646,2834.0442208658465,,,,,,,,,,,,,,,,
2022-05-16,2495.89990234375,125.5500030517578,-1.1008108300477917,-339.5708243936815,2835.4707267374315,,,,,,,,,,,,,,,,
2022-05-17,2523.5,127.5500030517578,-1.016276343633874,-311.94680122932914,2835.446801229329,,,,,,,,,,,,,,,,
2022-05-18,2539.0,126.4000015258789,-0.9619287896030156,-294.1826825893522,2833.182682589352,,,,,,,,,,,,,,,,
2022-05-19,2515.5,122.9000015258789,-1.031211595538858,-314.38711398425903,2829.887113984259,,,,,,,,,,,,,,,,
2022-05-20,2590.14990234375,130.35000610351562,-0.7967005868831942,-241.74371354380537,2831.893615887556,,,,,,,,,,,,,,,,
2022-05-23,2624.699951171875,135.8000030517578,-0.6849156540189708,-206.95989409346885,2831.659845265344,,,,,,,,,,,,,,,,
2022-05-24,2637.0,141.1999969482422,-0.6423499155346745,-193.53867250066835,2830.5386725006683,,,,,,,,,,,,,,,,
2022-05-25,2594.699951171875,139.0500030517578,-0.7743686855094774,-232.9633461639255,2827.6632973358005,,,,,,,,,,,,,,,,
2022-05-26,2636.449951171875,137.39999389648438,-0.6295443073974399,-188.97466851336048,2825.4246196852355,,,,,,,,,,,,,,,,
2022-05-27,2719.800048828125,140.3000030517578,-0.346117051678976,-103.58214628221413,2823.382195110339,,,,,,,,,,,,,,,,
2022-05-30,2770.550048828125,139.3000030517578,-0.1714057805102064,-51.13667906121464,2821.68672788934,,,,,,,,,,,,,,,,
2022-05-31,2773.89990234375,137.5,-0.156367878111707,-46.518798781228725,2820.4187011249787,,,,,,,,,,,,,,,,
2022-06-01,2757.60009765625,139.89999389648438,-0.2035391858493495,-60.36553272770607,2817.965630383956,,,,,,,,,,,,,,,,
2022-06-02,2663.10009765625,143.5,-0.5114199841112649,-151.2895025625162,2814.389600218766,,,,,,,,,,,,,,,,
2022-06-03,2583.75,139.5,-0.7791904062291157,-230.13334377684487,2813.883343776845,,,,,,,,,,,,,,,,
2022-06-06,2540.75,138.39999389648438,-0.9208172043009928,-271.1903606600281,2811.940360660028,,,,,,,,,,,,,,,,
2022-06-07,2570.85009765625,139.75,-0.8092006913536263,-237.5733045351144,2808.4234021913644,,,,,,,,,,,,,,,,
2022-06-08,2585.949951171875,138.5,-0.7552587767006783,-221.2987350028602,2807.248686174735,,,,,,,,,,,,,,,,
2022-06-09,2598.10009765625,137.89999389648438,-0.7100951361347928,-207.4766080349159,2805.576705691166,,,,,,,,,,,,,,,,
2022-06-10,2601.949951171875,137.85000610351562,-0.6915711374340998,-201.57430752446407,2803.524258696339,,,,,,,,,,,,,,,,
2022-06-13,2598.800048828125,131.85000610351562,-0.7208044861108295,-209.57331536473976,2808.3733641928648,,,,,,,,,,,,,,,,
